$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
2$Anxiousness associated with Depression$5/5/2019 1:08:43 PM$Reviewer: LeeLee, 55-64 on Treatment for 10 years or more (Patient) $5$5$5$I previously took this medicine every day, along with my antidepressant which I have been taking for years.  I now only have to take alprazolam as needed, if I have anxiety, or trouble getting to sleep and it works great.  I guess if I wasn't on the antidepressant I would probably have to take the alprazolam daily.  But I have had no problems with alprazolam being addictive, ever.  It has helped me in the past when I've had severe anxiety attacks, and it now continues to help if I still have anxiety attacks, and problems getting to sleep.  I'm happy to have this med, and would recommend it to anyone needing relief from anxiety or sleeplessness, etc.
4$Anxiousness associated with Depression$1/25/2019 6:57:03 AM$Reviewer: stix, 55-64 on Treatment for 2 to less than 5 years (Patient) $5$5$5$i am a w.m.over 50<60 have always had bad anxioty ADHD now AADHD been taking it bout 3yrs.realy helped dealing with my wife's terminal cancer we fought for four years. her death 1.5yrs past was an emotional killer.sank into super depression. alprazolam is the only thing that kept me from suicide or worse i am sure.it made me just clear enough to think about the people who truely have love for me when i did  not.i am sure it helped me see a little clearity  betwen the fine fine spaces between the bouts of TOTAL DEPRESSION.had no regaurd for life(mine or anybody within my five foot circle of my space). alpraz.ER was and is my only glimps of love within me and contol(so to speek)of my very very quick temper and rage, so i supoze(i am sure)put my depression in a bit of check for short piriods of time just for the short glimps of reality.rounded the rough edges of depression,anxioty,loss of love(hatetred for myself and anyones life) and was and is a lifesaver for myself and the fools(anyone wanting to confront or joke at my expence)who have no idea of the CRAZY thoughts in this confused and so messed up mush of a brain....
7$Anxiousness associated with Depression$2/7/2018 7:27:29 PM$Reviewer: PharmaB, 45-54 Female  (Patient) $5$5$5$Very effective also very habit forming.  Withdrawal is horrendous.
10$Anxiousness associated with Depression$8/23/2017 12:52:38 PM$Reviewer: Cbrown5209, 35-44 Female  on Treatment for 1 to 6 months (Patient) $4$4$4$
174$Anxiousness associated with Depression$1/16/2013 2:14:18 PM$Reviewer: 55-64 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$
175$Anxiousness associated with Depression$1/14/2013 9:43:27 PM$Reviewer: alprazalom,  Female  on Treatment for less than 1 month (Patient) $1$1$3$
183$Anxiousness associated with Depression$12/29/2012 9:19:48 AM$Reviewer: zanex5mlgfv, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) $5$4$5$keeps me calm
188$Anxiousness associated with Depression$12/15/2012 2:17:40 AM$Reviewer: crystalmaurice, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $4$3$4$
189$Anxiousness associated with Depression$12/13/2012 10:50:34 PM$Reviewer: 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $4$3$5$Alprazolam has calmed the anxiety or anxiousness in stressful stituations. Used irregularly.
191$Anxiousness associated with Depression$12/2/2012 2:15:20 AM$Reviewer: chronicpeaches, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $5$4$3$the meds work for me as long as i take as perscribed. Problem is I take too many, run out too soon, and go through withdrawls!
194$Anxiousness associated with Depression$11/25/2012 8:43:21 PM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $1$1$5$i of the the football shaped xanax i have taken 13 since 10 am and am not getting the effects that are commonly useful.
195$Anxiousness associated with Depression$11/24/2012 4:49:42 AM$Reviewer: Alkhan, 55-64 Male  on Treatment for less than 1 month (Patient) $3$3$2$I am having difficulty about the strength of doses p[prescribed, 0.5 mg .25 mg etc which dosage is higher?
197$Anxiousness associated with Depression$11/14/2012 11:01:34 PM$"Reviewer: $?$?, 35-44 Female  on Treatment for less than 1 month (Patient) "$3$3$3$.......
200$Anxiousness associated with Depression$11/4/2012 10:36:20 PM$Reviewer: 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $4$5$5$very suttle  and helps with sleep or falling asleep
202$Anxiousness associated with Depression$11/1/2012 10:20:11 AM$Reviewer: Leo, 25-34 Male  on Treatment for 1 to less than 2 years (Patient) $4$5$5$After the first two weeks, my body adapted to the medication...making it easier for me to go out again and just forget my depression and other anxieties about leaving the house or social anxiety. Works more rapidly than valium or diazepam. However it doesn't last as long as diazepam.
205$Anxiousness associated with Depression$10/31/2012 3:41:52 PM$Reviewer: Xanax-Saves many Lives, 35-44 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$"This medication has been a life saver for me throughout the years!! Without it, I would have been dead from extreme panic attacks, anxieties, nerves, including depression!!!
I DO NOT have an addictive personality, so taking this medication over a long period of time is not a problem... I have had to stop taking this med a few times in the past, and I've experienced no life threatening issues!  I do NOT recommend (as with any medication to stop taking it ""suddenly"" -that can negatively affect your health; mind & body)! Possibly creating extensive, serious side effects! DO NOT STOP TAKING THIS OR ANY SAME TYPE MEDICATION ""ONE DAY"" COMPLETELY!!! You must have your Dr. wean you off the medication over a good amount of time (months)!!! 
Overall, ""I'm still here & alive thanks to Xanax/Alprazolam,"" due to terrible, ""life threatening"" Anxieties, Panic Attacks, adding to depression from these attacks/nerves, etc., I've had since a late teenager after my special Grandfather passed on (first death I ever experienced,) and kids at school harassing me because I was a shy, good student!! After beginning this med I began working at my first job in a large, high profile, corporation!! Succeeding from a Marketing Assistant to the highest upper Management job/position in the Corporation!!! My anxieties/attacks were no longer controlling my life or rarely in my life any longer!  Thanks to Xanax/Alprazolam!!!
I'm VERY disappointed to now see more & more health insurance companies ""Not Covering"" this ""life saving & inexpensive"" medication anymore!!!??? For one, I just found out in 2013 Blue Cross ""PPO"" is NO LONGER COVERING XANAX/ALPRAZOLAM!?!?!?!?!  I'm disgusted with Blue Cross in their ""detrimental decision"" which will cause illnesses, some life threatening, to their customers & doctor's patients who can't afford another ADDED INSURANCE (non insurance covered expense) THAT WE PAY FOR IN OUR MONTHLY PREMIUMS ALREADY!!!!  I'm looking into canceling my BLUE CROSS ""deadly"" insurance!!:("
211$Anxiousness associated with Depression$9/18/2012 7:42:53 PM$Reviewer: 65-74 Female  on Treatment for less than 1 month (Patient) $1$1$5$can't sleep    want to start smoking after 20 years of stoping  can't think  legs hurt
217$Anxiousness associated with Depression$9/10/2012 1:43:53 PM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $4$5$5$I lost my husband one and a half years ago.  I have struggled with angzied.  I had doctors want to put me on antidepression med, I did not fell I needed that.  I just needed something to take the edge off.  I take this as needed and it works well for me.
221$Anxiousness associated with Depression$8/13/2012 3:22:32 PM$Reviewer: veep, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$4$Anxiety so frequent and lasting so long to the point, time consuming to accomplish the smallish of everyday duties, this helped me focus, to get things done, instead of feeling inadequate and mentally challenged.
222$Anxiousness associated with Depression$8/10/2012 7:58:33 PM$Reviewer: KIM, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$4$5$My treatment has been very well,however i have had trouble getting a hold of my Doc. at times and she dose not seem to care for me like she use to. I have had a very bad couple of months and so stressed I don'even want to get out even to the store and my hair is falling out.And it effects my Blood pressure.I would not wish this on know one,I know Iv' been on it so long I just cant go off of it so easy.It has helped with my Cronic Depression and Bypolar.I just wish Doctors cared liked they used to.
226$Anxiousness associated with Depression$8/3/2012 1:56:11 AM$Reviewer: 25-34 Female  on Treatment for less than 1 month (Patient) $5$3$4$
229$Anxiousness associated with Depression$7/3/2012 10:04:04 PM$Reviewer: Wallabee58, 55-64 Female  on Treatment for 10 years or more (Patient) $5$5$5$"I have depression, anxiety disorder, panic disorder and chronic insomnia (the latter since onset of menopause. I am prescribed venlafaxine ER, alprazolam and clonazepam. All three of these drugs, taken as prescribed work very well for me with very few side effects.  Taking alprazolam oral and clonazepam with food seems to have an ""extended release"" effect.  I take the clonazepam at night and try to do it on as empty a stomach as possible for the insomnia, so it will kick in fast and I can fall asleep in less than 4 hours, or not at all!  God knew what he was doing when me made these drugs.  It's humans that abuse them or use them for the wrong reasons that give controlled substances a bum rap!!  "
239$Anxiousness associated with Depression$4/26/2012 9:02:48 PM$Reviewer: mimi, 55-64 on Treatment for 10 years or more (Patient) $2$4$2$feeling so much better
240$Anxiousness associated with Depression$4/24/2012 7:50:35 PM$Reviewer: turtle, 45-54 Female  on Treatment for 1 to 6 months (Caregiver) $2$2$4$"I feel nothing but empty
"
251$Anxiousness associated with Depression$2/12/2012 11:17:02 PM$Reviewer: 25-34 Female  (Patient) $1$3$3$
256$Anxiousness associated with Depression$1/31/2012 3:01:20 PM$Reviewer: 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$very severe anxiety with depression.  tried all non-benzo's and most other benzo's with no relief.  Xanex is the only medication that worked for me.  I feel 1000 times better, best I ever been,
268$Anxiousness associated with Depression$12/2/2011 12:22:53 PM$Reviewer: 13-18 Male  on Treatment for 2 to less than 5 years$5$5$5$Taken for severe depression and/or panic attacks, works awesome.
272$Anxiousness associated with Depression$10/2/2011 8:01:13 PM$Reviewer: JimP53, 55-64 Male  on Treatment for 5 to less than 10 years (Patient) $4$4$5$I have used alprazolam for several years with 0.5 mg dosage. I take only as needed and not on a regular schedule. I suffer with severe depression and anxiety since the loss of my marriage of 32 years about 5 1/2 years ago. I only take the alprazolam when I get anxious and that is usually when I'm reminded of things about my marriage and my children. If one 0.5 mg tab doesn't work I will take two and I'm allowed to take up to 6 tabs per day. I usually don't come near to that amount and do not use it every day. My doctor is very supportive and helpful and is satisfied with my way of using the drug even though it's not on a regular schedule. It does help me sleep when take at bedtime. Overall I am very satisfied with it and when the anxiety gets bad I thank God that I have it because nothing else gives me relief like alprazolam.
278$Anxiousness associated with Depression$8/27/2011 4:58:01 PM$Reviewer: ROBIN, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$1$5$THIS DRUG HAS HELPED ME GREATLY. IT IS ALSO VERY ADDICTIVE. I WISH I COULD GET OFF OF THIS DRUG. THE SIDE EFFECTS IF I MISS MY DOSE MAKES ME FEEL AS IF I HAVE A DEMOND INSIDE OF ME TRYING TO BURST ITS WAY OUT OF MY ENTIRE BODY.MY ADVICE TO ANYONE WHO HAVE JUST STARTED TAKING THIS DRUG TO STOP. DO NOT START. IT SEEMS AS THOUGH I AM TRYING TO FIGHT MY WAY OUT OF HELL. GOD HELP ME.
281$Anxiousness associated with Depression$8/16/2011 5:34:10 PM$Reviewer: 55-64 Female  on Treatment for 10 years or more (Patient) $4$4$5$keeps me alive
289$Anxiousness associated with Depression$7/8/2011 10:15:42 AM$Reviewer: 55-64 Male  on Treatment for 2 to less than 5 years (Patient) $4$4$5$
295$Anxiousness associated with Depression$6/25/2011 1:17:58 PM$Reviewer: John001, 35-44 Male  on Treatment for 10 years or more (Patient) $3$5$5$It works well with the combination of Medical Cannabis for my pain,panic,ptsd and social anxiety disorder.
299$Anxiousness associated with Depression$6/17/2011 5:54:46 PM$Reviewer: willow, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $4$4$4$
301$Anxiousness associated with Depression$6/13/2011 5:06:04 AM$Reviewer: aibarreto, 55-64 Female  on Treatment for less than 1 month (Patient) $2$1$2$I have been taking this medication for about 3 weeks. I find the medication to be ineffective and after a few hours, I start to feel even more anxious followed by panic attacks and insomnia.
302$Anxiousness associated with Depression$6/9/2011 10:11:18 PM$Reviewer: green eyes, 55-64 on Treatment for 6 months to less than 1 year (Patient) $2$3$3$
307$Anxiousness associated with Depression$5/4/2011 12:36:21 AM$Reviewer: 55-64 Female  on Treatment for less than 1 month (Caregiver) $4$4$4$This medication has calmed me down without putting me into an ozone state of mind, which was exactly what I requested of my physician.
316$Anxiousness associated with Depression$3/30/2011 5:01:53 PM$Reviewer: and73, 35-44 Female  on Treatment for 1 to 6 months (Patient) $4$4$4$I have a list of chronic, physical issues, and in recent years they have become emotional/mental issues, too, so I was unsure what category to put myself in. I have had chronic trouble sleeping for a long time, and had been telling my doc about my general anxieties. My dr. put me on .25mg of Alprazolam,nightly.  I've noticed that it REALLY helps me sleep the entire night-usually I'd have a hard time falling asleep/staying alseep.  I've been taking it for 2 months, with the exception of 1 day. When not on it, I tossed/turned instead of sleeping, and was a mess the next day-couldn't work.  This med relaxes me/helps me fall asleep & sleep all night.  Because I've only been on it for 2 mos, I am having some side effects-I am drowsy in the am; I'm noticing that I sleep about 9hrs/night, & still sleepy upon waking. I'm more tired through the day, and sometimes I don't want to do anything at all.  I do think about death; not suicide, but just different ways of dying. Gas, extreme thirst, confusion, dizziness, menstrual changes are the other effects I've been having.  But the flip side of this is that I sleep through the night-a good thing. I wonder if these effects will go away after I've been taking it for longer? Dr's had me on antidepressants a few yrs back, but it was only for a couple of mos @ a time, never long enough to determine their effectiveness. This is the 1st time in 3 yrs I've been on anything.  Overall, this drug helps me cope with the situations in my life.   
321$Anxiousness associated with Depression$3/13/2011 10:39:29 AM$Reviewer: lolitadid, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $1$1$5$
322$Anxiousness associated with Depression$3/11/2011 8:54:27 PM$Reviewer: 13-18 Female  on Treatment for less than 1 month (Patient) $5$5$5$
329$Anxiousness associated with Depression$1/23/2011 7:22:45 PM$Reviewer: maxie, 65-74 Female  on Treatment for 2 to less than 5 years (Patient) $3$1$1$I would really likr to tslk to someone who has got off of this med and tell me the best way to get off of it . I hate this drug. I have been on  it far  years and want off Help Please
332$Anxiousness associated with Depression$11/29/2010 8:26:29 AM$Reviewer: wallace, 45-54 Male  on Treatment for 10 years or more (Patient) $5$5$5$i have taking alprazolam for 10 years 1 mg 4xday i ahve a broken back with rods and pins in my back plus a head injury and the med helps with my depression to i am satisfied with it helps me cope through the day i would be a complete basket case without it
334$Anxiousness associated with Depression$11/10/2010 5:27:47 PM$Reviewer: collegegurl34, 25-34 Female  on Treatment for 10 years or more (Patient) $3$4$3$I am not recieving the relief from the anxiety/panic attacks when I take my medicine now.
338$Anxiousness associated with Depression$10/28/2010 1:23:39 AM$Reviewer: WOUND TITE, 25-34 Male  on Treatment for less than 1 month (Patient) $2$2$5$Compared to other 2mg xanaxes. This drug is only 1/2 as potent. You have to take twice as much to reach full satisfaction. Hence GENERIC I GUESS.
341$Anxiousness associated with Depression$10/8/2010 1:22:45 PM$Reviewer: Dpickle, 19-24 Male  on Treatment for 6 months to less than 1 year (Patient) $2$1$5$i take 1 mg. 4 times a day and it hardly helps!So sometimes I take a little extra since my doc wont up my script.
347$Anxiousness associated with Depression$9/26/2010 8:11:11 PM$Reviewer: judgeglenda, 65-74 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$
352$Anxiousness associated with Depression$9/13/2010 4:32:48 PM$Reviewer: chrissyugh, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$Very satisfied with med.  Can certainly tell if I run out.
357$Anxiousness associated with Depression$8/25/2010 10:31:34 PM$Reviewer: catlover1164, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$5$In conjunction with zoloft, this medication helps me sleep and not be so shaky and/or anxious.
358$Anxiousness associated with Depression$8/21/2010 11:52:03 PM$Reviewer: xtcnsk8, 25-34 Female  on Treatment for less than 1 month (Patient) $2$2$2$Never again!!! Beware everyone. This is a powerful benzo and I almost had a seizure or even worst. I took it as medicated by my psych for a month and a half every other day and before I new it, I could not function well without it. It was the most horrible experience I went through in my life!!! I have never wanted to die so bad in my life due to this. This is a Horrible drug to get hooked on. I had to go to Detox to get better. I could have had a Seizure. Read about withdrawals and educate yourself before taking this. BEWARE! Learn to manage your anxiety instead of this crap. 
360$Anxiousness associated with Depression$8/12/2010 5:17:06 PM$Reviewer: xtcnsk8, 25-34 Female  on Treatment for 1 to 6 months (Patient) $3$2$3$"This was good in the beginning I would take it every now and then when I felt anxiety. Recently, I started taking it more frequently because I was looking for work and would pop a pill so I woudn't get nervous now that I am trying to stop, I get even worst anxiety. I feel like I am going to die. I get sharp pains in my head and I feel so out of it. 
It scared me. Beware! This drug is no joke. Take it if you must but becareful coming off of it. I have heard you can even have seizures. "
372$Anxiousness associated with Depression$7/9/2010 2:06:26 AM$Reviewer: vince, 55-64 Male  on Treatment for 1 to less than 2 years (Patient) $2$1$2$depression,addicting
373$Anxiousness associated with Depression$7/6/2010 3:29:33 AM$Reviewer: 35-44 Female  on Treatment for less than 1 month (Patient) $5$5$5$slurred talking like your drunk is only side effects
374$Anxiousness associated with Depression$7/4/2010 7:29:16 PM$Reviewer: BRAD, 45-54 Male  on Treatment for less than 1 month (Patient) $3$4$3$I HAVE BEEN DEALING BAD DEPRESSION I FEELING KILLING MY SALF FOR AWAILE, I WALT TO END THE PAIN FOR GOOD.this medicaion as help alot. no major side effects.
379$Anxiousness associated with Depression$6/22/2010 10:23:46 PM$Reviewer: brb, 45-54 Female  on Treatment for 10 years or more (Patient) $4$3$4$this medication has decreased my episodes of panic attacks by about half. reccommended 14 yrs. ago to start 4mg./day. now 2mg./day when nec. keeps me balanced, with my other meds.
386$Anxiousness associated with Depression$5/16/2010 1:46:33 PM$Reviewer: Joy, 35-44 Female  on Treatment for 10 years or more (Patient) $5$5$5$I have been taking this medication on and off through out my adult life. I have never experienced any negative side effects. At night it helps me sleep, and during the day it eliminates any potential anxiety attacks, and it has the ability to help cope with everyday stress in a clear and conscious manor. I definitely recommend it!
398$Anxiousness associated with Depression$4/15/2010 9:33:36 PM$Reviewer: ron, 35-44 Male  on Treatment for 1 to less than 2 years (Patient) $5$5$5$what mg is this pill
402$Anxiousness associated with Depression$4/6/2010 4:00:54 PM$Reviewer: Patty, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $5$4$4$I have been taking this @ bedtime and 1mg. and I ran out about 5 days ago and had to call my doctor to get a refill. I was shaking, a really bad headache, and sweating, like before u throwup. It was just the worst thing I have went though, I felt like I just wanted to die. So I asked my pharmacist, if all the things I felt were because I ran out of the med. and he said yes all those things can happen.So now I feel like I need to keep taking this pill. It has really helped me with all problems but I feel addicted to it. I have an appointment with the doctor that has been giving me this on Fri. So I need to get things cleared up. I also might be going though the change that us lucky women get to go though,  
407$Anxiousness associated with Depression$3/21/2010 1:01:04 PM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $4$4$5$
