$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
806$Mania associated with Bipolar Disorder, Adjunct Treatment$9/2/2008 11:09:18 AM$Reviewer: $1$1$1$"This medication was prescribed for my 11 year old son. He has bipolar disorder - my warning is read ALL the side effects - even the RARE ones - Ativan made him mean. He became a child we did not recognize. At one point he became like a baby sitting in the kitchen throwing things and grunting. He had horrible muscle pains - screaming and hollaring in pain. It was torture!
READ ALL THE SIDE EFFECTS before you take or give to a loved one. "
882$Mania associated with Bipolar Disorder, Adjunct Treatment$4/1/2008 1:13:30 PM$Reviewer: [email protected], 55-64 Male  on Treatment for 10 years or more (Patient) $5$5$5$sleep good les strees help blood precer help on acid flex  general is thebest medication for me dose 3-4 mg a-day
934$Mania associated with Bipolar Disorder, Adjunct Treatment$1/27/2008 10:06:37 AM$Reviewer: knightsaber1, 25-34 Female  on Treatment for 5 to less than 10 years (Patient) $3$1$3$The first few times I used this as a PRN, it worked quite well and very quickly. Unfortunately, I would find later that I would have yet another episode (often worse) exactly 24 hours later. To me, this was a sign of withdrawal, as the subsequent attacks were otherwise unprovoked. I've heard of how addictive this drug is, and using it caused me to spiral into a pattern that I would not have gone into had I simply taken a hot bath. So nowadays, if I do have a moment, I take a low dose of Diazepam (Valium) instead.
1067$Mania associated with Bipolar Disorder, Adjunct Treatment$9/26/2008 7:16:47 PM$Reviewer: 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $4$3$2$
1229$Mania associated with Bipolar Disorder, Adjunct Treatment$5/5/2012 10:08:38 AM$Reviewer: Drug Addict , 35-44 Female  on Treatment for 5 to less than 10 years (Patient) $1$1$5$I was on .5 mg 1-3 per day for over 5 years.  I took this with Celexia & Trazadone which caused me to pass out and drive off a cliff.  My dr. discontinued these drugs all at once and I suffered severe withdrawal symtoms which at the time I did not know were Benzo withdrawals and I was diagnosed as Bi-polar II and put on Lamictal, Trazadone, Neurontin, Celexia, and Cymbalta all together which reacted with the previous lorazepam and put me into a coma.  This has been the most horrifying, painful experience I have ever been through with these drugs, and will never recommend them to anyone. 
1235$Mania associated with Bipolar Disorder, Adjunct Treatment$3/30/2012 9:24:54 PM$Reviewer: Shoe, 35-44 Male  on Treatment for less than 1 month (Patient) $4$4$5$10mg tid. 20+ years. No bad effects. We used to call it ativan.
1330$Mania associated with Bipolar Disorder, Adjunct Treatment$12/9/2010 8:50:37 PM$Reviewer: 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$4$5$
1358$Mania associated with Bipolar Disorder, Adjunct Treatment$7/9/2010 4:37:22 PM$Reviewer: lois sweetie, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $4$5$5$i only use as needed,i fine it works very well.i have used it for 7or more years,no side affects.
1474$Mania associated with Bipolar Disorder, Adjunct Treatment$6/23/2009 11:51:15 AM$Reviewer: healthrogee, 55-64 on Treatment for 1 to less than 2 years (Patient) $2$1$2$"I 've tried this medicine for a short time, then i was put on Lexapro(10mg) and Wellbutrion(150 mg). The result was much better, I have less voices and no paranoidal
thoughts"
1487$Mania associated with Bipolar Disorder, Adjunct Treatment$5/30/2009 12:02:56 PM$Reviewer: Enabler?, 45-54 Female  on Treatment for 1 to less than 2 years (Caregiver) $5$5$5$Friend being treated with Prozac in combination with this drug has become addicted. Now takes a sixty day prescription in two to three weeks. I am very concerned. When this friend runs out she buys Xanax from drug dealers. I don't know what to do to help her.
1492$Mania associated with Bipolar Disorder, Adjunct Treatment$5/18/2009 11:29:16 PM$Reviewer: 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$
1520$Mania associated with Bipolar Disorder, Adjunct Treatment$1/13/2009 1:02:28 PM$Reviewer: [email protected], 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$4$this medication has been very helpful with my manic depression , anxiety , panic attacks. it is shorter acting then the most benzodiazopines, so it is less sedating , for me at least ,
1549$Mania associated with Bipolar Disorder, Adjunct Treatment$10/24/2008 1:22:04 AM$Reviewer: WhoamIanyway, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $5$3$5$I take this PRN for anxiety. The other day I had what they call a Brain Zap (heard of it as a withdrawal symptom of paxil) Now I'm afraid to take my meds. 
1622$Mania associated with Bipolar Disorder, Adjunct Treatment$1/28/2008 6:49:28 PM$Reviewer: 13-18 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$
1648$Mania associated with Bipolar Disorder, Adjunct Treatment$11/23/2007 4:58:28 PM$Reviewer: David, 35-44 Male  on Treatment for 1 to 6 months$5$5$5$Helps me sleep, a lack of which often trigger a manic episode. It also does not make me fall back into the depressive phase as easily as with medications such as Stilnox
