$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
17$Bipolar Depression$11/24/2017 11:15:24 AM$Reviewer: 45-54 on Treatment for 5 to less than 10 years (Patient) $5$5$5$I have taken this medication for over 7 years now and  have found it to be very effective in treating my bipolar II.  I have not had any side effects (which is odd since with most meds that I have tried over the years nausea and stomach issues are usually the side effect that i get the most frequently).  When my Doctor and I finally came up with the medicine combo that worked for me I had been in a pretty rough state for over 2 years  
19$Bipolar Depression$10/31/2017 10:24:35 PM$Reviewer: raz9187, 35-44 Female  on Treatment for less than 1 month (Patient) $3$2$3$I started this med almost 2 weeks ago for Bipolar II.  Seemed to be working even at the starter dose. Then boom! Hives and severe itching. My Doctor told me to stop the drug if I had any skin reaction. So now I stopped it and I have crashed!  See the Doctor next week on to the next drug.
20$Bipolar Depression$10/4/2017 8:59:05 PM$Reviewer: Horse88, 45-54 Male  on Treatment for less than 1 month (Patient) $1$1$1$Xfirst day taking meds will see how it make you feel everyday keep you posted
24$Bipolar Depression$5/20/2017 6:48:04 PM$Reviewer: zk8za6, 45-54 on Treatment for 2 to less than 5 years (Patient) $5$5$5$Keep me in a decent moon 
25$Bipolar Depression$4/4/2017 7:16:19 AM$Reviewer: Stomach pain and diarrhea! , 25-34 Female  on Treatment for less than 1 month (Patient) $3$3$3$I weaned myself off a heavy dose of zoloft after about 4 years. Depression just seemed out of control and just different. Got the bipolar depression diagnosis and started a low dose (25 MG daily at night) of lamotrigine. It's only been 4 days, my moods are definitely better but I have had the worst stomach cramping and diarrhea since the morning after my first dose. Here it is, 4:00 in the morning and I have been up all night with terrible stomach pains and diarrhea every hour. Please tell me this goes away soon!!
26$Bipolar Depression$3/1/2017 12:59:07 PM$Reviewer: jane, 25-34 Female  on Treatment for 1 to 6 months (Patient) $1$1$5$"I approached my doctor requesting treatment for ADHD and left with a prescription for generic lamotrigine to manage my moods.  I'm not bipolar, though; if anything I'm depressed, but my doctor latched onto the fact that once, about four years ago, I had a single and isolated ""manic-like"" episode that has never happened again.  

I've only been taking this a few months and have had my dosage increased once (25mg to start, 50mg currently). I realize that generally people don't experience any real change until the dosage is significantly higher, but if anything my ""mood disorder"" is worse and I've experienced several side effects since starting treatment with this.  

I'm more irritable and my already limited patience and temper are easier to lose than ever, to the point of rage, restlessness, and wanting to hurt people.  My nose has been congested for months in a way that has nothing to do with the season or allergies.  I have a constant minor headache and dry eyes--for a while, my upper eyelids would periodically twitch, but that stopped when my dose increased.  My skin is more sensitive and I'm ore prone to irritation than I was.  I already had issues with menstruation and they've gotten worse.    As I type this, I have a tightness in my chest that's only happened since I started taking lamotrigine.  I've had issues with urination, from not going enough and having difficulty going to needing to go so immediately I'm lucky I make it to the bathroom.  I'm fatigued and have occasionally severe insomnia and nightly vivid, sometimes upsetting dreams.  I have the same issues with concentration that I've always had, but I've become prone to trailing of mid-thought and misspeaking or being outright incoherent.  I'm not well-coordinated to begin with, but I've gotten worse as my grip has gotten weaker and my balance is off (I even walk differently now to compensate.  

My doctor insists I stay on and up my dose again to see if things change.  I don't want to take the chance."
31$Bipolar Depression$12/3/2016 5:55:55 AM$Reviewer: 25-34 on Treatment for 2 to less than 5 years (Patient) $5$5$5$This has changed my life. I have been taking this for over three years and my wife continues to tell me how much of a difference she can tell in the severity of my mood swings. I really like the fact that I still feel myself when taking this medication.
33$Bipolar Depression$10/14/2016 8:34:10 PM$Reviewer: zyt7ad, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$Taking for less than 1 year.  Worked quickly to address bipolar depression.  No side effects. 
34$Bipolar Depression$10/6/2016 3:39:52 PM$Reviewer: 55-64 on Treatment for 6 months to less than 1 year (Patient) $4$5$4$"I was diagnosed with Bipolar II early this year after some years of being misdiagnosed with plain ol' depression.  One way I differ from the usual B2 person is that I've never really had suicidal thoughts - except on the Citalopram and Trazodone I'd been prescribed for depression!  I worked my way up on the Lamotrigine from 25mg daily to my current 200, with zero side effects, and a marked improvement in my mental state after about two months.  Unless your early experiences are really bad, as mine were with the SSRIs, be patient and let ""Vitamin L"" work its magic.  It's not perfect and my mood swings haven't completely disappeared, but I'm a lot easier to live with now, sleep better and am more optimistic.  I'll gladly take this for the rest of my life if that's what it takes.  It should be noted that I also quit drinking and smoking pot this year, and I'm sure there were many cross-benefits from that."
35$Bipolar Depression$9/20/2016 2:22:27 PM$Reviewer: 25-34 Male  on Treatment for less than 1 month (Patient) $1$1$1$I had convulsive seizures and became paranoid.  
37$Bipolar Depression$7/24/2016 9:04:37 PM$Reviewer: pppp, 25-34 on Treatment for less than 1 month (Patient) $1$2$1$was prescribed for bipolar 2 (in generic). was on 12.5mg (25mg split in half) for about 3-4 days, and started getting sore throat, swollen lymph node, fever, and muscular pain. stopped it for about a week, then tried another 12.5mg and immediately had a fever of about 102f and stiff neck. i was concerned about sjs, so quit the med right there and then.
38$Bipolar Depression$6/18/2016 2:40:51 PM$Reviewer: 13-18 on Treatment for 1 to 6 months (Patient) $4$4$4$I was diagnosed with Bipolar Disorder II and Dysthimic Disorder about a month ago and was prescribed Lamictal (Lamotrigine). I'm now taking 100 mg a day and have gradually seen an awesome change. My mood swings aren't as extreme and it's helped a lot with the depressive symptoms as well. 
39$Bipolar Depression$5/1/2016 2:39:45 PM$Reviewer: Trinity, 55-64 on Treatment for 5 to less than 10 years (Patient) $1$1$1$This is one of the most difficult drugs to stop taking. I've been stepping down from 200mg/day over the last 3 years. 10 mg at a time. Takes a month of feeling like a complete idiot, with lots of drowsiness for me to start feeling better after reducing the dose... then you need another couple of months to restabilize. Glaxo lied in their first data sheet about effectiveness. Turns out that Lamictal/Lamotrigine is less effective than placebo. I wouldn't recommend this to anyone. 
41$Bipolar Depression$4/1/2016 11:05:31 PM$Reviewer: 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $5$4$5$I have been on this drug for a year just in the last 3 mos my dose was raise to 250 a day as I began feeling very manic. It has only been a week but feel better. This drug has been my life saver.
42$Bipolar Depression$3/30/2016 10:18:08 PM$Reviewer: britbrit05tx, 25-34 Female  on Treatment for less than 1 month (Patient) $2$2$4$I'm on week two of 25mg of this pill. In three days I will go up to 50 mg. the only change I've seen in my behavior is that it has gotten worse. I become irritated much easier than I did before I started taking this medication. I was diagnosed with bi polar and anxiety agitation. I hope there is a way to review again once my doses become higher. I'm giving this med a chance in hopes that it will help.
46$Bipolar Depression$1/6/2016 6:01:45 PM$Reviewer: 65-74 Female  on Treatment for 1 to 6 months (Patient) $3$3$3$BP2. Coming off lithium I found myself more energetic and dynamic. At first I was having some serious suicidal ideation, but that passed. Now the problem is that I'm beset by a feeling of bleakness, on occasion. It's not entirely like depression, being without emotion or fear.
48$Bipolar Depression$11/8/2015 12:04:44 AM$Reviewer: 35-44 Female  on Treatment for 10 years or more (Patient) $5$5$5$After quite a few years of a misdiagnosis and treatment for depression and/or ADD, I was accurately diagnosed with bipolar disorder and prescribed Lamotrigine.  I have been taking 300mg for almost 10 years now, and I am thrilled with the level of stability I have experienced over these years.  Overall I'm very happy with my experience with this medication.
52$Bipolar Depression$10/15/2015 11:40:23 PM$Reviewer: Zach, 13-18 Male  on Treatment for 1 to less than 2 years (Patient) $5$5$5$This is the first medication that has truly worked for my bipolar. Beforehand, I had bounced around many SSRI's and Anti-psychotics all to no avail. My psychiatrist finally decided to start me on Lamotrigine and since then, my quality of life has significantly improved. I now take 300mg/day and am very impressed with the results.
59$Bipolar Depression$4/26/2015 7:17:44 AM$Reviewer: Patient , 45-54 Female  on Treatment for 1 to 6 months (Patient) $4$2$5$Went off celexa for anxiety. Slowly worked up to 200 mg. felt like I was going to jump out of my skin with the first 200mg dose. It seems 9 hours after I take it I become very nauseous, and have diarrhea. Wake up out of a dead sleep, feel like I have the stomach flu. Cut down to 100mg, still feeling like that. First they gave me Lamasil (sp) to ease into full strength then the full dose was lamotrigine. No effects with Lamasil. Woke up this morning feeling sick, now I have a slight rash on my face and body.
61$Bipolar Depression$3/13/2015 4:18:54 AM$Reviewer: Fiona, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$5$I am lucky that I have not had any side effects from this medication. For me it took a number of months to build up the effective dosage of 200mg per day.  However, despite the improvement due to Lamotrigine my mood (due to Bipolar II) has still been unstable.  So now I have just started on Seroquel XR.  Good luck and good health to all of you with bipolar disorder and remember MENTAL HEALTH IS TRICKY
64$Bipolar Depression$11/24/2014 8:31:23 AM$Reviewer: emme, 19-24 Female  on Treatment for 1 to 6 months (Patient) $4$5$5$After trying several medications that either didn't work or resulted in negative side-effects, lamotrigine has been working for me. The only reason I gave only 4 stars is because I have been at 200mg for less than a month and before I was at 100mg BUT I have noticed a difference with the increased dose and never a side-effect.
69$Bipolar Depression$10/7/2014 9:58:35 AM$Reviewer: squeakycellist, 25-34 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$After 12 years of misdiagnosed bipolar depression and heavy side effects from fluoxetine and citalopram my new psychiatrist cured me in 6 weeks with lamotrigine. I wish this had happened years ago! First week I had tremors and the second-third my insomnia worsened, but symptoms subsided after 2-3 weeks. It really works!
70$Bipolar Depression$9/24/2014 8:31:17 AM$Reviewer: 25-34 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$4$"I have taken this drug since 2009; I was lucky that the first drug I tried for my mental illness has been so effective. I take 300 mg once a day. 

Though it is technically prescribed for manic depression (for insurance coverage/medical reasons) it is actually for Borderline Personality Disorder. 

It brings me, and my doctor, a lot of hope, because it is commonly believed that personality disorders cannot be helped with medication. My moods are more stable, and even though it hasn't had any 'magic effect', it's given me the foundation to work on my own problems without constantly feeling like my world is collapsing around me.

Warning for women: the interactions with birth control are VERY REAL. I spent a year and a half trying various combinations under my doctor's supervision, and every hormonal birth control option literally made me the most crazy I've been in my life-- crying constantly, suicidal, flipping out. I chose, in fact, to seek sterilization at a young age (for many reasons, but my need to stay on Lamotrogine is one of the primary ones).

As far as long term side effects, my hands shake noticeably at times, and it seems like my balance is a bit worse, though that might just be the effect of aging. It is also incredibly difficult and distressing to miss a dose: headaches, dizziness, and extreme mood swings.

Despite all of this, I am incredibly grateful for this drug. I didn't believe that a psych drug could ever change my life like this. It takes awhile to begin its effects but I would give it a chance if you have mood swing issues-- just take it consistently, at the same time each day."
71$Bipolar Depression$9/13/2014 3:12:59 PM$Reviewer: John Doe, 19-24 Male  (Patient) $5$5$5$I take Lamotrigine once daily at 200 MG Tabs. I have been taking the medication for about a year now along with ocarbazepine 600mg. (Oxcarbazepine: one tablet by mouth three times a day.) Only issue is I am up more than 15 hours a day. Ask your Dr. about my regime. It has been pretty effective. 
72$Bipolar Depression$9/9/2014 3:41:32 PM$Reviewer: 35-44 Female  on Treatment for 1 to 6 months (Patient) $2$2$5$"My mood sings are more frequent now..I am on 200mg for about 2mths now. I hope it doesnt last long. Dont know what they'll do next..
"
74$Bipolar Depression$8/6/2014 12:21:32 PM$Reviewer: retired grandma, 65-74 Female  on Treatment for 1 to 6 months (Patient) $2$2$3$I remain so irritable with Lamotrigine 100mg/qd
75$Bipolar Depression$5/18/2014 12:03:58 PM$Reviewer: 65-74 Female  on Treatment for 1 to 6 months (Patient) $3$4$4$"I take this at night and wellbutrin in the day to help w/ my disorder.
"
78$Bipolar Depression$5/25/2014 7:12:41 AM$Reviewer: Maizie, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $3$3$4$Not sure if it causes my migraines to be more frequent ?
81$Bipolar Depression$4/2/2014 9:52:27 AM$Reviewer: amaezieaol.com, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) $4$3$4$I feel I am having numbness and tingling in my fingers.
82$Bipolar Depression$4/1/2014 6:43:21 PM$Reviewer: banfield, 25-34 Female  on Treatment for 1 to 6 months (Patient) $4$4$4$Been on this med for about 3 months. It has helped my depression about 95% and my moods about 75% I have felt very happy very inlove with my husband and very high libido but I have gone though a couple episodes that last a week of being back to feeling very moody and irritable I hate it but maybe that's normal sometimes?? Im feeling I want to get pregnant ( probably due to feelin happy) but im very scared to go off the meds :-? any feedback??
86$Bipolar Depression$2/25/2014 9:02:22 AM$Reviewer: 35-44 Female  on Treatment for less than 1 month (Patient) $4$4$5$
91$Bipolar Depression$12/29/2013 4:21:06 PM$Reviewer: YSR, 35-44 Male  on Treatment for 5 to less than 10 years (Patient) $5$5$5$"I have been using this drug from 2006 which I found very effective.

I am very happy with this drug"
92$Bipolar Depression$12/27/2013 5:45:18 AM$Reviewer: Lamotrigine, 45-54 Female  on Treatment for 2 to less than 5 years (Caregiver) $4$4$5$Helps me control my anxiety a bit better.
93$Bipolar Depression$12/25/2013 10:30:41 PM$Reviewer: MadKate, 55-64 Female  (Patient) $4$5$2$I have taken Lamotrigine for 12 years now. Most of all, it seems to level my moods.  I take 400 mg at bedtime, along with 100mg of Zoloft, and during the day I take 300mg of Welbutrin. I wouldn't say I'm on top of the world, but I am in a stable place. The main concern I have is a side effect no one has reported. If I skip a dose, I start to have fuzzy thinking and feel uncoordinated. If I forget to take it at night, I have a very hard time waking up and I feel awful. If I go to work after skipping a dose, I have to have someone bring it to me, so that I won't get disoriented and anxious. I don't like that aspect of this drug at all. I've been on it long enough to know that these side effects are produced by Lamotrigine, not another medication.
96$Bipolar Depression$11/5/2013 8:55:53 AM$Reviewer: William L R, 55-64 Male  on Treatment for 1 to less than 2 years (Patient) $1$1$4$Doesn't work for me!  Down taking at present to stop entirely.  Enough lifetime liver damage although suppose to be ok with liver interaction.  Just a piece of advice...IN MY LAY OPINION there is absolutely NO Drug that doesn't somehow effect the liver on different levels.  DO NOT let doctors tell you otherwise.
98$Bipolar Depression$10/19/2013 1:38:53 PM$Reviewer: grammyd, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$After several years of trying other meds, lamotragine/Lamictal was prescribed and it has been life changing. It does take some time for maximum effectiveness but I have been on the same doseage for 7 years with no distructive manic episodes. I also take cymbalta.
99$Bipolar Depression$10/4/2013 9:01:28 PM$Reviewer: weeza, 55-64 Female  on Treatment for 10 years or more (Patient) $5$5$5$This is the only drug which helps with the depression part of my being Bipolar.. I do take xanax with it for my anxiety..I do believe the brand name drug Lamictal works much better , but my insurance will not pay for it. 
101$Bipolar Depression$9/29/2013 1:05:10 AM$Reviewer: Misselect , 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$For 15 yrs I was put on to many antidepressants to list. Everyone in my life can tell a huge difference. Part of bipolar is thinking your all better and stopping your meds. Within 2 days I hit a low and can't think rationally. As soon as I am back on it I am level headed. Only bad part is my memory has gotten bad. Could be hormonal though. I had a total hysterectomy. Overall this drug probably saved my life and my relationships.
103$Bipolar Depression$8/15/2013 9:52:13 AM$Reviewer: 45-54 on Treatment for less than 1 month (Patient) $4$4$4$Slowly thinking clearer. and my mood swings are less frequent.and my depression seems to be getting better. But its only been 2 weeks, so still in testing mode. So far seems to be working .Having some weight gain, and not peeing much., don't know if its due to meds yet.
104$Bipolar Depression$8/12/2013 2:43:47 AM$Reviewer: 65-74 Female  on Treatment for 1 to 6 months (Patient) $5$3$5$"I think too much of this medicine is giving me insomnia.
"
108$Bipolar Depression$5/28/2013 3:46:46 PM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $2$1$5$i dont see a change still having mood swings and irritability
109$Bipolar Depression$5/27/2013 4:13:40 AM$Reviewer: ux9ip, 45-54 Male  on Treatment for less than 1 month (Patient) $1$1$5$i just started
110$Bipolar Depression$5/8/2013 11:55:57 AM$Reviewer: concerned in La, 35-44 Female  on Treatment for less than 1 month (Patient) $4$1$1$As far as my bipolor goes its way better but, it causes a terrible , unbearable rash and nothing soothes the rash. I cant sleep or sit still long. Im miserable.
113$Bipolar Depression$4/2/2013 2:36:41 PM$Reviewer: 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$4$"lamotrogine has been very helpful for my manic and depression symptoms. although it took awhile for full effectiveness (I've been on it for 18mos. now). After the first 6mos. I had some difficult life changes that challenged my stability (quitting my job, relocating to my hometown to take care of my parents, and having to stand my ground & set boundaries w/my parents). But I continued my medication and I reacted much better than I would have had I not been on lamotrigine. Now I wake up happy, I can take care of my parents w/out feeling the burden is unbearable, and I don't ""rev"" like before. Full affect did take 10mos. but worth the patience. "
114$Bipolar Depression$3/25/2013 2:13:14 PM$Reviewer: Cindy Caltone7ky7k, 65-74 Female  on Treatment for 1 to 6 months (Patient) $3$3$4$the mouth & tongue sores.  But it really works for my depression.  What can I do?
115$Bipolar Depression$3/18/2013 12:03:08 AM$Reviewer: 25-34 Male  on Treatment for 6 months to less than 1 year (Patient) $1$1$4$i have been using this for more than 6 months. i have had more moments of speratic fits of crying and self loathing. 
116$Bipolar Depression$3/17/2013 2:57:11 PM$Reviewer: Getting Better every Day, 45-54 on Treatment for 6 months to less than 1 year (Patient) $5$5$3$"The only reason I gave this med a low ease of use score is the slow dosage build up.  It takes a long time to reach the theraputic dose.  I did so well on this med -- no side effects and felt so normal.  After about 6 great months, I started thinking that I was just so ok ... and that the bi-polar stuff was all in my mind and a missdiagnosis by the doctor.

I quite taking it ... was great for a month ... and then WHAM ... major depression.  Right now I am trying to cope with a hypomanic state (just yesterday I did something potentially hurtful & feel just terrible about it today) while I wait to once again reach the theraputic dose.

I learned my lesson!! I will never agin get off this wonder drug!!

I hope that someone who is successfully taking this drug will read this and learn from my bad experience.  STAY ON YOUR MEDS!!
"
118$Bipolar Depression$3/13/2013 4:25:22 PM$Reviewer: ladybug91601, 35-44 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$I have been in a black hole for almost a year. I asked my pdoc if we could try Lamotrigine. I have been taking 100mg for 4 months and I feel wonderful.  I feel like I have been given a gift. The gift of peace with myself and the world around me.
120$Bipolar Depression$2/28/2013 10:21:53 AM$Reviewer: thndrft, 13-18 Male  on Treatment for 1 to 6 months (Patient) $1$1$5$"god i hate this drug. okay, so it takes a while to titrate up. i got put on it because i was very near overdosing on prozac. they thought that since i went manic/depressive on it that i had bpd2. which i guess makes sense. but the whole time i was titrating up i had to seriously fight in order to keep myself from killing myself. ""oh, it'll work pretty soon, just wait until you get a higher dosage."" funny story, i'm at 200mg and it does absolutely nothing. it's inhibited a lot of my creativity and taken out a big chunk of my mental capacity, but it really hasn't done anything. i still have suicidal ideation, and the only thing stopping me is not wanting to hurt my family. however, if depressed enough, that does not matter because my body automatically tries to end it's suffering, so it's really very important that i have something blocking all levels of depression. all it does is stop me from being manic, which, personally, i'd rather be manic all the time than depressed. now i have to stop cold turkey because my psych canceled my appointment, and i've been off one day and have started hearing voices and feeling presences at night and having panic attacks. i don't know, this might mean i'm schizoaffective but whatever. this drug was a pain to get on (constant nausea, pounding headaches, and at times severe crippling depression) and at this point my body has developed a very strong aversion to taking it. im going to a new psych next week to get evaluated. this drug sucks."
122$Bipolar Depression$2/8/2013 5:45:43 PM$Reviewer: 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) $1$1$3$doctor wants me on 200mlg and I dont want to take that much. I wonder if the med has anything to do with my body stiffness and pain?
123$Bipolar Depression$2/7/2013 5:10:24 PM$Reviewer: baloney, 45-54 Female  on Treatment for less than 1 month (Patient) $1$1$1$bipolar
126$Bipolar Depression$1/15/2013 1:18:18 PM$Reviewer: 35-44 Male  on Treatment for 1 to less than 2 years (Patient) $4$4$5$Taking it for bipolar II for over a year. Until the dose steadied out I felt unsteady, even worse than unmedicated. After getting to the therapeutic dose and staying there for a while, things got better. My wife notices an enormous difference. I still am occasionally hypomanic, but any depression I have is very short-lived and not as severe as before. This is not a good drug for children, from what I read.
128$Bipolar Depression$11/12/2012 8:38:57 AM$Reviewer: deadladytalking, 25-34 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$After trying several antidepressants and lithium, the doctor prescribed lamotrigine/lamictal and wellbutrin/bupropion which has helped alot. lithium didn't help at all and caused rapid weight gain once i reached 1000mg (theraptutic level)and thyroid problems and was still depressed even depite trying celexa, citopram, and wellbutrin combined with the lithium. discouraged, i went in and asked to be taken off my drugs and she said to try this before making such a hasty decision and it worked! lamictal took away my anger/aggression and depression slightly so she prescribed wellbutrin to help with the depression and it was a life changer! it takes a while to reach a theraputic level (over a month) but with each week, i felt better. what people have to remember is that each drug effects different neurotransmitters in your brain and each person is different. plus, people are more likely to review when they're disatisfied, rather than happy so that also screws witht he rating. I say try it and see if it helps! I take mine before i want to go to sleep and you do get drowsy but when i wake up that doesn't effect me as much. wellbutrin is also a stimulant so that may be another factor. start with a low dose (25mg) and increase weekly by 25 mg to lessen the chance of getting the rash which is rare. before this drug, i wanted to kill myself and was very angry and depressed despite being on lithium which most bipolar people find effective; just not me. each person is different. be willing to try different drugs or combinations and be patient because there is a theraptuic level you have to reach.
129$Bipolar Depression$11/9/2012 6:25:31 PM$Reviewer: shellp, 55-64 Female  on Treatment for less than 1 month (Patient) $1$1$1$I'm just starting it so I don't really know the effects
131$Bipolar Depression$10/29/2012 12:04:55 AM$Reviewer: 19-24 Female  on Treatment for 1 to 6 months (Patient) $3$5$4$I LIKE MYSELF & MY PEERS LIKE ME BETTER WHEN I HAVE IT IN MY SYSTEM
134$Bipolar Depression$10/8/2012 11:30:02 AM$Reviewer: Lisa, 13-18 Male  on Treatment for 1 to 6 months (Patient) $1$1$1$"My son is 14 he has been changed to this med he is refussing to take it makes him feel funny I am so sick of the doctor he does not listen just writes out diffrent meds he gets so angry he dont even wanna take it he is bipo & ADD & has night terriors sleep walks i'm so lost we have been on a waiting list for almost two years to get him in with a child specilist we go in two weeks I pray they can help before my son committs suicide or hurts someone else from his anger i have to have to hold him and tell him how much he means to me to get him to calm down very sad & not a good life for a young boy.Parents becareful of this drug for your child we are needing help with our kids not drugs that are gonna make things worse.I think or belive that his started at birth i started noticing it when he was about 3 yrs of age now he is a 9th grader still can't read maybe 2nd grade level .GOD WHAT HAPPEN TO MY BABY BOY????????
"
137$Bipolar Depression$9/5/2012 2:24:13 AM$Reviewer: 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) $3$2$5$i feel as though i am gaining a lot of weight and it isn't helping my anger, or freak outs or manic depression episodes. i am sideways all the time, i am always running around, i can't stay still, i am always panicking about something and still having extreme anxiety
138$Bipolar Depression$8/28/2012 6:44:36 PM$Reviewer: beancounter, 65-74 Male  on Treatment for 1 to less than 2 years (Patient) $1$1$5$After two years of taking this medication, I don't see any positive results
140$Bipolar Depression$6/7/2012 11:19:12 AM$Reviewer: lamotrigine, 75 or over Male  on Treatment for 1 to 6 months (Patient) $3$2$5$nervous,axctiuos, jumpy
143$Bipolar Depression$5/11/2012 11:58:21 AM$Reviewer: annasgram6w2zyiv, 65-74 on Treatment for 1 to 6 months (Patient) $3$2$5$Have taking it for about a month. I think it is helping but all I want to do is sleep
145$Bipolar Depression$4/24/2012 7:40:48 AM$Reviewer: Lisa, 35-44 Female  on Treatment for 1 to 6 months (Patient) $2$1$2$it dont seem to be working for me as i am still depressed and cant seem to function normally without outburst
146$Bipolar Depression$4/18/2012 9:56:51 AM$Reviewer: 25-34 Female  on Treatment for less than 1 month (Patient) $3$3$5$
148$Bipolar Depression$4/2/2012 1:36:11 AM$Reviewer: Sandi_k, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$4$20yrs ago I was diagnosed as having Chronic clinical Depression.  After many years on many different drugs causing weight gain an inability to work or take care of my children.  I was diagnosed with Bi polar abt 4 years ago.  initially i was on prozac and epilum which worked together really well except I gained a tollerance and was on max doses with return of symptoms.  My new coctail (for abt 12months) has been lamotrogine 100mg twice daily.  I do not have any side effects.  I have always had trouble sleeping so I am taking a 25mg tablet of seroquel and 20mg temaze.  If i take any more that 25mg of seroquel it makes me eat non stop.  I have not had trouble with weight gain on the lamotrogin though.  Recently due to an episode of depression I started 50mg Pristiqe, it has worked but NO libido:(
151$Bipolar Depression$2/24/2012 3:17:23 PM$Reviewer: 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $4$4$5$keeps my triggers down
