$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Depression$12/23/2018 6:00:43 PM$Reviewer: Oly, 55-64 on Treatment for less than 1 month (Patient) $1$1$1$Day 2 i felt really bad had shortness of breath bad anxiety.  Was afraid to leave my house just couldn't focus on anything. 
13$Condition: Depression$1/2/2015 11:11:29 AM$Reviewer: Iakovlevskaya, 13-18 Female  on Treatment for 1 to 6 months (Patient) $2$1$5$"I was taking this for my Depression and PTSD. I had a severe and rare allergic reaction to the medicine. If you ever start having ""Tics"" like Tourette's, immediately call your doctor. My doctor unfortunately blew my reaction off, so I had 3 E.R. visits in 4 days and went to different towns before they finally helped me at St. Joseph's. It did work for me, in the beginning, that was the only real good thing it did for me."
14$Condition: Depression$12/26/2014 10:43:59 PM$Reviewer: Dixiegeezer, 65-74 Male  on Treatment for 1 to less than 2 years (Patient) $5$5$5$I have an Inner ear problem that effects my balance an loss of cognitive skills. This Med has me back to reading, walking an trying to learn.
15$Condition: Depression$12/9/2014 6:58:13 PM$Reviewer: 13-18 Female  on Treatment for 1 to 6 months (Patient) $4$5$5$"I started taking Sertraline for my depression and chronic anxiety that had developed over the last two years. At first I had trouble with my sleep schedule, and lost about 10 pounds, but now I am eating fine and I have no problems with sleeping. My  depression/anxiety has definitely improved, but I wouldn't say I'm at my 100%. To be honest, I do sometimes have suicidal thoughts I did not have before, but the warning label DID say that people under 25 could experience them. I know that sounds like a huge reason NOT to take this antidepressant, but I just remind myself its the drug making me think that way and then I feel fine again. I do recommend this to anyone who has mild depression. For anyone with severe depression, you may want to try something with less ""intense"" side-effects."
16$Condition: Depression$10/12/2014 4:38:20 PM$Reviewer: GAT, 75 or over Male  on Treatment for 1 to 6 months (Patient) $3$3$5$Seems to help .    
17$Condition: Depression$9/30/2014 12:25:02 PM$Reviewer: navyma55, 55-64 Female  on Treatment for 1 to 6 months (Patient) $4$1$5$This medication did make my mood better. I no longer cried all of the time, but after about a month I started having horrible nightmares! So now I have trouble staying asleep at night. This drug is not for me.
18$Condition: Depression$8/3/2014 1:48:23 PM$Reviewer: Sqshot, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$I have tried other medications and they all fluctuated my moods, but this seems to keep me on a even keel most of the time. I have a little trouble controlling my moods during my periods, but then that's when my hormones are all screwed up anyway.
19$Condition: Depression$6/28/2014 11:58:28 AM$Reviewer: Catchat1955, 55-64 Female  on Treatment for less than 1 month (Patient) $2$1$4$
20$Condition: Depression$4/28/2014 4:22:31 PM$Reviewer: Middle Aged Mom, 35-44 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$"I started taking this at a half pill every other day and felt better but I thought I didn't need it anymore and stopped...big mistake.  After about a few days I had the worst anxiety I have had in about 16yrs, I just wanted to die.

I got myself on the med now everyday at full capsule 100mg and I feel better so now just afraid of getting off of it at some point."
21$Condition: Depression$4/22/2014 7:32:40 AM$Reviewer: Me, 55-64 Female  on Treatment for less than 1 month (Patient) $2$1$5$"I started on 50mg taking half a tablet at night for ten days. It made me feel extremely ""sick"", ""dizzy and disorientated"" and my head felt heavy and ""big"". This usually occurred around 10am. I felt so bad that I would crawl into bed and sleep for about a hour. Usually felt a tinny bit better after I slept. As per the prescription I increased the dosage to one tablet at night - thinking that the increase may help - but it became worse. I used the one tablet for 2 days only then went back to using half at night. I also thought that I will rather cope with the depression than feel this bad. I have since stopped using it completely. Who can afford not to be able to concentrate because you are feeling so ""bad"" that you have to go to bed that time of day?"
22$Condition: Depression$4/13/2014 7:45:12 PM$Reviewer: cats72, 35-44 on Treatment for 2 to less than 5 years (Patient) $5$1$5$I have thyroid problems  in the past. This drug can restart the thyroid problems. So don't take it if you had a thyroid  problem in the past.
23$Condition: Depression$3/23/2014 5:20:16 AM$Reviewer: noor, 25-34 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$"nice
"
24$Condition: Depression$3/12/2014 1:24:42 AM$Reviewer: krikit, 65-74 Female  on Treatment for less than 1 month (Patient) $1$1$2$Started out at 25 mg...after 4 days began to have vivid and frightening nightmares ~ waking up with rapid heartbeat and elevated blood pressure.  I'd rather be depressed than risk having a heart attack or a stroke due to this worthless drug!!!!!   
25$Condition: Depression$2/11/2014 3:33:59 AM$Reviewer: 55-64 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$They changed my med's around again. They started me on this one with another anti depressant (yes, I am one of those who is always depressed/anxiety)but it took a few weeks and an increase in dose and within days I felt like a normal person again. Really happy they went with this medication. This is the only one they increased the mgs on, and afterwards is when I started feeling better so I awesome it is this drug.
26$Condition: Depression$11/8/2013 2:46:54 PM$Reviewer: cs, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$"My experience with sertraline is very positive, I was taking Prozac before which turned me into a robot. Not so with sertraline, it took about 3 weeks to start making a difference(150mg a day)but the result is profound.
I noticed when lowering the dose it causes dizziness and chaotic thought patters and when I have any alcohol at all I have no memory whatsoever from during having a drink.
And I get hit by an overwhelming depression afterwards so I stopped drinking alcohol altogether.
Sertraline changed my life around 180' from being suicidal to be able to have a successful career.
As mentioned in other review it does effect sex drive but to me it is a side effect I can live with taking in account the benefit it provides."
27$Condition: Depression$11/3/2013 7:06:07 PM$Reviewer: WANTED OLD SELF, 55-64 Female  on Treatment for less than 1 month (Patient) $1$1$1$"I started taking this, drug again about two weeks ago.  ""Backup six years ago and I was taking this drug and I was having all kinds odd side effects: insomnia, having thoughts of suicide, panic attacks(which I have without this drug but are more severe with this drug)"", anxiety, restless legs,arms and top of my back. I have an appt w/DR in 10 days, but if nothing changes in next couple days I will stop taking and contact my DR. As soon as I started getting restless and panic attacks were worst, I remembered feeling all of this before and that is why I am concerned. I am so tired of feeling like a shadow of who I used to be and I don't like it at all. This Med has about the same effect on me as muscle elaxers; Instead of helping me I am one of thode rare people that has the reverce effect on me. Instead of decreasing or stopping my severe restless legs, this drug Increased the restlessness in my legs and had me up from my hospital bed from about 1am to 6am walking the hall up and down for this time period because when I stopped the restlessness was too severe. Final Note:I also am my husband's caregiver and have been for 5 years. He has severe brain damage because he died twice and lack of oxygen and blood to his brain caused the damage."
28$Condition: Depression$10/28/2013 10:59:51 AM$Reviewer: 75 or over Male  on Treatment for 2 to less than 5 years (Caregiver) $5$5$5$
29$Condition: Depression$10/26/2013 9:59:37 AM$Reviewer: ralph, 65-74 Male  on Treatment for 1 to 6 months (Patient) $3$3$5$it seems to have worked some.before my want to was there but i just didn't feel like doing the every days tasks,but now i have a little more drive to get things done
30$Condition: Depression$10/12/2013 8:59:53 AM$Reviewer: 55-64 Male  (Patient) $4$4$5$I have taken this medication for at least (10) years. It has worked well for me.
31$Condition: Depression$9/5/2013 3:34:21 PM$Reviewer: flood93, 19-24 Male  on Treatment for 2 to less than 5 years (Patient) $2$1$3$"It worked at first, then I became more depressed, so I asked my doctor to up the dose. Again, it worked at first. Eventually I was on a high dose and the same thing happened. Decided to get used to the dose, became more depressed. Throughout my treatment, if I forgot to take it one day I might have a ""brain zap"" which feels like an electric shock in the brain and spine. Scared the hell out of me. When I lowered my dose these ""zaps"" would happen more frequently and continued until months after I had completely stopped."
32$Condition: Depression$9/2/2013 12:55:53 AM$Reviewer: 55-64 Male  on Treatment for less than 1 month (Patient) $1$1$5$I am getting headache and insomania
33$Condition: Depression$8/21/2013 11:35:34 PM$Reviewer: Hershy, 55-64 Male  on Treatment for 5 to less than 10 years (Patient) $5$5$5$Nothing at this time
34$Condition: Depression$7/30/2013 3:30:03 AM$Reviewer: Act, 35-44 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$Started at.25 then .5 then.75 then1back to.75 and now at .5 and realize that's where it need to be and fell better then I have in a long time and no side effects except slightly less sex drive and it takes longer to ejackulate witch is a pro and a con I suppose 
35$Condition: Depression$7/7/2013 11:21:26 PM$Reviewer: 65-74 Female  on Treatment for 1 to 6 months (Caregiver) $1$1$1$makes me into a zombie
36$Condition: Depression$6/3/2013 11:19:46 AM$Reviewer: 55-64 Female  on Treatment for 1 to 6 months (Patient) $5$4$4$
37$Condition: Depression$7/18/2013 12:02:45 PM$Reviewer: [email protected], 75 or over Female  on Treatment for 2 to less than 5 years (Patient) $2$3$5$Very little relief of depression.  After reading the last side effect list when I refilled the prescription, I have begun to gradually discontinue it.  I have several symptoms that I am dealing with and I am wondering if this might be the cause.
38$Condition: Depression$5/10/2013 10:21:05 AM$Reviewer: nonbiased, 25-34 Male  on Treatment for 1 to 6 months (Patient) $2$1$5$I took sertraline (Zoloft) for about 2 months to treat anxiety/depression. The drug guide I have, because I am an RN, and my practitioner said I needed to take it for at least 3 weeks to a month to see the effects. After about 2 weeks, I started getting dizzy spells and felt lethargic. This came intermittently. After about a month I noticed the dizziness wasn't near as bad but I could not concentrate to anything to save my life. At the second month mark I decided to pull myself off because it was starting to effect my decision-making ability. It may have helped the depression a little, but not enough had I kept taking it. When I stopped taking it, I got really bad dizzy spells, withdrawals, and sometimes had to catch myself grabbing the walls or anything around to keep myself from falling, which came intermittently as well. This was just from taking it for two months. While I was withdrawing, I searched the internet and found others who had the exact same problems with the extreme dizziness. It took me another 3 weeks to stop having the dizzy spells. I would rather deal with the anxiety/depression than to take this medication again. Keep in mind though, this medication may work for some and not for others, but coming off the pill is hell. Not to mention the loss of libido is not a wanted action to the medication.
39$Condition: Depression$5/2/2013 8:22:27 PM$Reviewer: Tawanda, 55-64 Female  on Treatment for 10 years or more (Patient) $4$3$5$I started at 50 mg...had on-going problems w/ fatigue, so the doctor suggested that I increase the dose to 75 mg. I've experiences weigh gain while using this drug--which I am not happy about. Another doctor suggested that I try Wellbutrin. The online reviews seem pretty mixed--and the side effects many experience during the initial weeks of use sound pretty unpleasant. Any advice??
40$Condition: Depression$4/26/2013 3:39:11 PM$Reviewer: rain26426, 25-34 Female  on Treatment for less than 1 month (Patient) $4$3$5$Taking generic Zoloft 50mg.  I've been on it almost two weeks.  So far it's helped with my depression and social anxiety issues.   And strangely enough, I feel like I have more desire for sex. The first couple days I felt drunk and impulsive, but that went away. However, other side effects hit me like a ton of bricks this morning. Since I've started taking the medication, I've been in the restroom every 1-2 hours.  This morning I woke up with what felt like the equivalent of taking 2 Dulcolax. Also, had nausea/vomiting, fever, sweating, and both triceps went numb. All of the symptoms went away, but I'm afraid I will experience more of it.
41$Condition: Depression$3/16/2013 8:01:26 PM$Reviewer: 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$
42$Condition: Depression$2/26/2013 4:48:34 PM$Reviewer: lavelafan, 25-34 Female  on Treatment for less than 1 month (Patient) $4$3$3$I've been on Sertraline for 2 weeks now (started at 50mg then went to 100mg) and immediately noticed that my general anxiety is quite reduced. I still have depression and get agitated pretty quickly but hoping it will go away eventually. I read that it requires a month for this drug to work.
43$Condition: Depression$2/26/2013 4:57:53 AM$Reviewer: sertraline, 45-54 Female  on Treatment for less than 1 month (Patient) $5$5$5$I like it very much.
44$Condition: Depression$2/25/2013 3:41:17 PM$Reviewer: Denise, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$After the first couple weeks of side effects, this medicine works very good! No more panic attacks, butterflies in my chest, or worrying. I take it at supper so I sleep good at night. Orgasm does take alot longer to achieve!
45$Condition: Depression$2/9/2013 10:30:50 AM$Reviewer: wolfspirit66, 13-18 Female  on Treatment for 1 to 6 months (Caregiver) $5$5$5$I have a question can this drug cause sleep walking or make it worse? Any help with this would be greatly appreciated. Otherwise have had no serious side effects.
46$Condition: Depression$2/3/2013 10:35:51 AM$Reviewer: MsTrish, 13-18 Female  on Treatment for 1 to 6 months (Patient) $3$3$5$Though my mother takes a different, stronger drug with a higher dosage, I find that Sertraline fits my needs quite well. I can't say that it's perfect because I still experience moments of mania and depression while on medication but my dosage increased and hopefully it will be just like when I first started. It was first numbing then absolute normality. I felt like me again. 
47$Condition: Depression$2/2/2013 9:15:35 AM$Reviewer: 65-74 Female  on Treatment for less than 1 month (Patient) $2$1$3$Doesn't seem to relieve the depression.  All I asked the doctor for was a better sleep medication and she prescribes this.
48$Condition: Depression$1/24/2013 11:14:35 AM$Reviewer: FranObem, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$I have been on taking Sertaline for about a year 200mg a day & so far it has helped. I have not had any side effects & am enjoying life again.
49$Condition: Depression$1/6/2013 4:39:58 PM$Reviewer: NRM, 75 or over Female  on Treatment for 10 years or more$5$5$5$"Very good marriage, no problems,lifelong depression but unrecognized                                       for many years.  Australian doctor recognized symptoms in the late 90""s since then I have been fine when he recommender Zolof. I take one tab daily. Wish I had know what was my problem as a child. I think it was congenital?"
50$Condition: Depression$12/13/2012 6:43:17 PM$Reviewer: Tony, 55-64 Male  on Treatment for 1 to 6 months (Patient) $2$1$5$
51$Condition: Depression$12/10/2012 11:56:46 PM$Reviewer: dsw, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$I tried 3 other anti-depressant drugs prior to this one, none of them worked for me, 1 made me feel too tired, 1 made me throw-up instantly, 1 made me feel totally out of it. I've taken this med for many years now it has made all the difference & I've had no problem side effects. I know it's difficult but don't give up even if several antidepressants haven't worked you must keep trying till you find 1 that works for you, once you do it will make a world of difference in how you feel.
52$Condition: Depression$11/29/2012 6:12:22 PM$Reviewer: catwoman, 55-64 Female  on Treatment for 1 to 6 months (Caregiver) $4$4$5$My husband had very bad depression, with much bad temperedness and no patience, hell to live with. After taking it so far he is much nicer to live with.
53$Condition: Depression$11/16/2012 7:06:07 PM$Reviewer: true2yourself, 35-44 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$i have been on sertraline 50mg and not only do i feel great i lost 15lbs in 2 weeks which i needed to lose but it works for me i take it at night because it makes me sleeping.i have been on it for 1 1/2 months.
54$Condition: Depression$11/3/2012 2:47:41 PM$Reviewer: lucia, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$it really helps some people manage depression or overwhelming emotions while working to get life on track.
55$Condition: Depression$9/27/2012 8:13:21 AM$Reviewer: 65-74 Male  on Treatment for 2 to less than 5 years (Patient) $4$4$5$
56$Condition: Depression$9/25/2012 3:32:20 AM$Reviewer: apathetic, 19-24 Female  on Treatment for 1 to 6 months (Patient) $3$2$3$Ever since I started sertraline, I have been very lethargic and apathetic. I'm a college student, and I basically feel numb. I hate it. I stopped going to class, and stopped completing my homework, it makes me want to sleep all the time, and I feel super withdrawn. I feel like I'm on the outside looking in and that I can't tell myself to wake up, every day is like going through the motions, and I don't truly enjoy anything anymore. I don't really look forward to anything, I basically stopped caring. And sex..... I pretty much don't care about it anymore, it's extremely difficult to orgasm, or to enjoy sex. I used to love sex. Very awful feeling.
57$Condition: Depression$9/18/2012 7:00:43 PM$Reviewer: amanda, 45-54 Female  on Treatment for 10 years or more (Patient) $4$4$4$
58$Condition: Depression$9/1/2012 12:19:02 PM$Reviewer: vrck1, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$AT higher doses 100mg It was incapacitating. at 50mg no side effects. you must keep the dosage level in you at all times. I works very well for me.
59$Condition: Depression$8/2/2012 6:16:20 PM$Reviewer: 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$4$I've been on this med for a year now, and it's working very well for me. I do have a question for any women that may have taken it/be taking it. Has anyone had false-negative pregnancy tests while taking this med? (meaning they got negative results, but were actually pregnant). I read that it can cause false-negative lab results..  Thanks! 
60$Condition: Depression$7/31/2012 3:33:51 PM$Reviewer: 65-74 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$"My husband had colon cancer surgery and quad-
ruple coronary bypass within a five-month span.  During this time I began to suffer gastrointestnal upsets, appetite and weight loss, and loss of joy in life.  My health care provider recommended Sertraline, and within a week my symptoms began to diminish.  As time went on, I was able to gradually decrease dosage and after about a year, discontinued the drug.  I experienced no untoward side effects while using Sertraline, and am grateful to have my ""old self"" back."
61$Condition: Depression$7/22/2012 2:34:40 PM$Reviewer: 75 or over Male  on Treatment for less than 1 month (Patient) $2$2$4$
62$Condition: Depression$7/4/2012 5:16:33 PM$Reviewer: 65-74 Female  on Treatment for 2 to less than 5 years (Patient) $1$1$1$
63$Condition: Depression$6/20/2012 7:55:23 AM$Reviewer: kwkid, 65-74 Male  on Treatment for 6 months to less than 1 year (Patient) $4$3$4$Taking this depression medicine makes it very difficult to achieve orgasm.
64$Condition: Depression$5/27/2012 9:43:44 PM$Reviewer: Thankfull, 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$"It started working for me in about a week or so. I thought I had been ""cured"" so I stopped cold turkey, big mistake, I felt worse than before I originally started taking the drug. Bottom line, I feel like I can cope when I am on this medicine. I have been on sertraline 50 mg. for about 7 months now."
65$Condition: Depression$4/26/2012 11:24:39 AM$Reviewer: somebodysmom, 45-54 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$This worked within a week or two and I am dealing with my stress and problems much more efficiently and not taking it out on my family.  I have heartburn, tho... which I never had before, shortly after taking it.
66$Condition: Depression$4/13/2012 1:48:02 AM$Reviewer: kristyc, 13-18 Female  on Treatment for 6 months to less than 1 year (Patient) $4$3$3$I have noticed I can now handle problems better and my outlook has changed, however, I have noticed that I am lethargic and tired all of the time, I cannot remember things as well and I have a decreased sex drive. 
67$Condition: Depression$3/18/2012 12:05:49 AM$Reviewer: 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) $3$3$2$I suffer from severe chronic depression,and have been on many different meds. I take Wellbutrin as well as Sertraline. I started on 50mg and bumped it up to 100mg in august. It stopped working in December. In Feb I bumped it up to 200mg and the side effects are annoying. Although 200mg is working, my side effects are annoying. In the morning I would get acid reflux, so I switched to the afternoon and take it with food, no more acid reflux, BUT, shaky arms, nausea and drowsiness. It has been dificult exercising now. My mood has improved, so I hope this med works for a long time
68$Condition: Depression$3/11/2012 6:01:08 AM$Reviewer: not sure, 35-44 Male  on Treatment for 1 to 6 months (Patient) $4$4$4$Helps me talk to people easier 
69$Condition: Depression$1/29/2012 10:03:11 PM$Reviewer: 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$This stopped my nightly nightmares immediatly.  I am able to better interact with others.  Has worked great for me.  My wife thinks it is responsible for my reduced sex drive.
70$Condition: Depression$1/20/2012 2:41:13 PM$Reviewer: tuppermama, 75 or over Female  on Treatment for 1 to less than 2 years (Patient) $3$3$3$Only thing I have found, it has disturbed my sleep.  Maybe I should take it at a different time of day and not at bedtime???
71$Condition: Depression$1/5/2012 10:08:50 PM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $4$3$5$Works for my depression, but I have insomnia. BAD. I know it's due to the zoloft because the insomnia started when I started the drug. Dr. prescribed trazodone to help me sleep and that works most of the time.
72$Condition: Depression$12/7/2011 5:37:49 PM$Reviewer: dave31, 25-34 Male  on Treatment for 6 months to less than 1 year (Patient) $3$4$5$it works good when u have the right doctor who knows the mixture effects of the drug  my doc got me from never leaving the house to hanging out with friends again and doing stuff in public i wouldnt have done before  i wish i could give his name because hes well educated and knows what hes doing
73$Condition: Depression$11/26/2011 11:30:48 AM$Reviewer: foxyroxy07, 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) $4$5$4$I've had no complaints about this drug. After 2 weeks of taking it, my attitude became more positive and I had a brighter outlook on life (taking 50mg). I did have some restless sleep for about a month though. The only problems I've noticed are that my apathy is greater, depending on the situation and I don't want to have sex much.
74$Condition: Depression$11/3/2011 6:20:23 AM$Reviewer: reelman19, 55-64 Male  on Treatment for 1 to less than 2 years (Patient) $4$4$5$ok
75$Condition: Depression$10/15/2011 3:07:09 PM$Reviewer: Dutchey1029, 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) $2$2$4$"I was taking sertaline for maybe 6 months now, and since then I have had vivid thoughts of hurtful things happening to me, which made me feel like I was going ""crazy"". I wasn't sure if this was normal, I came on here and read the side effects of this drug and immediately stopped taking it, which I should have consulted the doctor because apparently once taking this you need to wing yourself off of it, the thoughts only then got worse and more vivid, so I contacted my doctor and since then I've been on Bupropion. Going on the 3 day so we will see...."
76$Condition: Depression$10/11/2011 12:45:42 PM$Reviewer: anxtobedone, 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) $4$2$4$The plus is that this medication works, the down side is that I have gained 20+ pounds while on this medication, which I started about 6 months ago. I have always been a slender person, and now I'm not so much.
