$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Other$12/26/2016 1:33:05 PM$Reviewer: 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $3$3$5$
1$Condition: Other$10/28/2015 5:32:03 PM$Reviewer: LA, 45-54 Female  on Treatment for less than 1 month (Patient) $2$1$5$I have been prescribed this twice for pain. Once for pleurisy pain and now for kidney stones. Supposed to take one every 6 hours. It takes 2 hours for Tramadol to begin easing pain SLIGHTLY, then it only works for about 2 hours. Thus I suffer for the last two hours before time to take next dose. doc said to take with Extra Strength Tylenol to increase pain relief effectiveness. Pitiful excuse for pain reliever but doc won't give me anything stronger despite being his patient for 11 years. Time to shop for new doctor.
2$Condition: Other$7/14/2014 9:28:51 PM$Reviewer: TKennedy, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I have taken this medication for 2 yrs now due to nerve damage.  I have had no issues with interactions or side effects.  It has worked so well that I thought it was not working, but if I skip just one dose I definitely feel the difference.  It keeps my hand from cramping and curling into claws on heavy days at work.
3$Condition: Other$7/14/2014 7:57:23 PM$Reviewer: 55-64 Male  on Treatment for 1 to 6 months (Patient) $3$3$3$
4$Condition: Other$7/6/2014 1:44:27 AM$Reviewer: Sgt. Killgood, 55-64 Male  on Treatment for less than 1 month (Patient) $1$1$1$It don't work .
18$Condition: Other$2/22/2011 12:04:54 PM$Reviewer: Pam, 45-54 Female  on Treatment for 1 to 6 months (Patient) $3$4$4$ I was taking 6 pills a day. I started feeling like I was getting panic attacks and shakes.  I cut the dose way back and the panic attacks have stopped. But now I am left with a high amount of pain for my back condition. 
19$Condition: Other$2/3/2011 11:14:26 PM$Reviewer: Menchaca, 45-54 Female  on Treatment for less than 1 month (Patient) $5$5$5$It worked on my nerves before I had pain relief, redirects my brain, but I did have on and off dizzy spells and quick thoughts racings faster than I could speak. Do not drive and make sure you eat well. tends too decrease appetite, and increase thirst with some imbalance.  Yet, very alert. takes at least and hour and one-half for pain to start to minimize. Muscles will relax suddenly to where you may walk and talk as if you are drunk at this point you must  have bed rest to avoid any injury. no other medication is needed and be sure to have any other medication out of your system before starting.
20$Condition: Other$1/20/2011 6:11:32 PM$Reviewer: 55-64 on Treatment for less than 1 month (Patient) $5$5$5$
21$Condition: Other$12/13/2010 4:20:40 PM$Reviewer: granmaman, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$Take mainly for neck and back pain.  It has not caused and interaction with my other medications. Very seldom do I have to take more than 2 tablets and I am very satisfied with this medication.
22$Condition: Other$11/5/2010 1:02:47 PM$Reviewer: yourms, 45-54 Male  on Treatment for less than 1 month (Patient) $2$2$3$
23$Condition: Other$6/11/2010 3:54:35 PM$Reviewer: tweety, 19-24 Female  on Treatment for less than 1 month (Patient) $1$2$3$it really does`nt workfor pain so thats all i really have to say..
24$Condition: Other$3/12/2010 2:30:28 PM$Reviewer: Lynn, 55-64 Female  on Treatment for less than 1 month (Patient) $3$2$4$I have been taking this for a few weeks and it really isn't all that good. I was on Percocet and wanted to change to a non-narcotic. So far I am not really happy as it isn't doing much to help the pain.
25$Condition: Other$2/19/2010 9:20:38 AM$Reviewer: none, 55-64 Male  on Treatment for less than 1 month (Patient) $2$1$5$I have a pinch nerve in back and also have lupus
26$Condition: Other$2/4/2010 10:49:19 PM$Reviewer: m6lfdj, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I get very bad headaches and Tramadol takes the edge off the headache.
27$Condition: Other$11/3/2009 10:27:48 PM$Reviewer: patricia, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) $3$4$4$i've tried many pain medications and tramol seems to help more than others of course there are days when nothing seems to help but mostly regular doses keep me able to do everyday things 
28$Condition: Other$1/31/2009 3:30:18 PM$Reviewer: chronic pain, 35-44 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$I was put on tramadol about a month after surgery on my lower back.  I had been on oxycodone before that.  The oxycodone worked fine but the doctor didn't want me to stay on that.  Thanks to that because the Tramadol was superior.  The Tramadol relieved almost all the pain and still let me maintain function. 
29$Condition: Other$12/15/2008 2:42:53 PM$Reviewer: vic, 55-64 Male  (Patient) $5$5$5$Works good for my headachs
30$Condition: Other$11/26/2008 11:42:04 AM$Reviewer: dab, 45-54 Male  on Treatment for less than 1 month (Patient) $4$3$5$i pulled muscles in my back in which this drug has helped to relief my pain and also has helped my sleep.i have a history of breaking out with large hives.this medicine didnt affect me in that way.it helps! 
31$Condition: Other$3/25/2008 2:49:54 AM$Reviewer: justin_tyme_911, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I am a diabetic suffering from severe nerve pain in my legs and feet. While placed on a regimine of 2 50mg tablets three times a day, I have been relatively pain free. I was unable to take any medications with Tylenol and this pain reliever worked great. I am very satisfied with its effectiveness.
32$Condition: Other$1/31/2008 12:53:57 PM$Reviewer: 19-24 Female $2$1$3$I took this during a migraine to help reduce the pain. The only thing it helped was to make me fall asleep. Later I woke up with a rash over my entire body and severe itching that continued for over 24 hours.
