$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Schizophrenia$12/5/2011 10:35:41 AM$Reviewer: schiz, 13-18 Male  on Treatment for 2 to less than 5 years (Patient) $4$4$4$
11$Condition: Other$4/13/2013 7:00:39 PM$Reviewer: JUST ANOTHER TEST RAT, 19-24 Female  on Treatment for less than 1 month (Patient) $1$1$5$my daughter took one  6 mg. pill and fell out with dangerously low blood pressure!!!!! her heart raced, she felt like vomiting, and turned blue. Also she began to hurt all over, and she felt like she could not breath!!!!!!!!!!!! She is only 21!!!! I looked up the side effects and holy cow there are so many that are severe that it is going in the garbage. I looks more and more like we are all the doctors little lab rats!! TEST SUBJECTS and that's all. I really think they could care less if they kill us to test their poisons. I am wondering how long will this last, she took it 6 hours ago and still cant stand up.
12$Condition: Other$3/27/2013 6:49:11 PM$Reviewer: violetsky9900, 25-34 Female  on Treatment for 1 to less than 2 years (Caregiver) $4$1$4$I am not the one taking this drug. My 5 year old was prescibed this for his ADHD and ODD. My son was probably 50 lbs before. In a matter of months, he ballooned up to over 70 lbs. Now is is 76 lbs or more. We have him in baseball and it is not working much. The medication works well for calming him down and at each check up with the psychiatrist, his weight is more. He looks miserable and I feel awful at how heavy he has become. Its wonderful that it does what the dr wants it to, but I am not happy about the weight gain.
13$Condition: Schizophrenia$2/8/2013 1:21:00 AM$Reviewer: tiredofbeintreatedlikeaplauge, 25-34 Male  on Treatment for 1 to less than 2 years (Patient) $3$2$4$for tha past year, my ears have been ringin, finally a few months ago went to tha doctor then to a special ear doctor an said it could be medican related but it was diagnosed as tinnitus, earlier i searched online an seen in very rare cases that fanapt can cause this never realized this till now, i agree with tha ones that have mentioned it takes tha sex drive away an i had no clue until i read another review bout it but took all my sperm away, i was hopein to have a kid someday so if my doctor which im sure will takes me off this med an tries a new med. tha sperm an sex drive will come back
14$Condition: Additional Medications to Treat Depression$1/16/2013 9:29:50 PM$Reviewer: scheherazadea, 45-54 Female  on Treatment for less than 1 month (Patient) $1$1$1$"Serious side effects steadily increasing from start to stopping:  extreme tiredness, hard to swallow, pounding heart, dizziness, light- headiness.
   Lastly - Sudden: faintness, inability to walk without being held, and steadily dropping blood pressure (HYPO- TENSION) at dangerous level."
15$Condition: Schizophrenia$11/19/2012 9:04:50 AM$Reviewer: Jason, 35-44 Male  on Treatment for 1 to less than 2 years (Patient) $1$2$3$"Medicine will make you tired. No more wanting to have sex, because you can't get it up.Grew man boobs.Price of medicine is high even though it has been out for years.Started off at 105 pounds and now 195 in three months.I'm a short guy about 5'5"" and now it harder to walk because of the weight gain."
16$Condition: Schizophrenia$11/8/2012 1:17:48 AM$Reviewer: juliemetcalf13, 25-34 Female  on Treatment for less than 1 month (Patient) $1$1$1$i have been takeing this med for over a week it is not helping my side effects are worse
17$Condition: Schizophrenia$10/20/2012 12:15:30 AM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $4$2$5$I switched to Fanapt because I was experiencing TD with Latuda, and it was happening at my job.That immediately stopped when I started, but there have been some drawbacks. I had to get use to the lightheadness and the sedation I deal with is as bad as when I was on Geodon.This is my 5th medication change,so I don't know how many more options I have. There is no weight gain, so I guess I will try and figure out a plan to fight it. Same old battle, just new drug.
18$Condition: Schizophrenia$9/8/2012 2:12:40 PM$Reviewer: 25-34 Female  on Treatment for less than 1 month (Patient) $4$3$5$I have been taking Fanapt for a week and half.  The side effects at first were horrible; dizziness, headache, fatigue, dry eyes and mouth, congestion, insomnia, etc.  I was switching from Latuda to the Fanapt and there was a little while when I was first on it that my symptoms came back (hallucinations and delusions mostly).  Now I'm to the point where I could handle the side effects I still have (dry eyes, mouth, congestion) except that my legs keep swelling pretty big.  I'm using Flonase for the congestion, which really helps.  My symptoms are under control but I have a feeling that when I see my psychiatrist they will want me to switch to something else.
19$Condition: Additional Medications to Treat Depression$5/1/2012 9:50:52 AM$Reviewer: 45-54 Female  on Treatment for 1 to 6 months (Patient) $1$1$3$I've been on Fanapt for several months now.  I am asking my doc to take me off of it.  It hasn't helped with my depression.  What's worse is that I've developed urinary incontinence which isn't listed in the side effects; however, when I researched it further, I learned it does cause incontinence in 10% of all cases.  I also am having moderate memory loss.  Maybe it will work for someone else, but it hasn't worked for me.
20$Condition: Schizophrenia$4/14/2012 9:52:26 PM$Reviewer: 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) $1$1$5$I have been on this drug for some time now up to 4mg daily. I am not seeing any benefits with this drug. I still see things and people (I call Gremlins) but mostly at night, so I do not go out at night which limits me from some family and friends outings.
21$Condition: Other$3/26/2012 9:41:24 PM$Reviewer: Appalachian Girl, 35-44 Female  on Treatment for less than 1 month (Patient) $1$1$1$"I am using a trial pack to see if this med will help with the treatment of bi-polar disorder; and it is probably a little early to tell as far as the ratings go. Day 1 (1mg): I was light headed, dizzy, my heart pounded out of my chest and I had shortness of breath; I kept having to take frequent deep breaths as though to catch up.  Day 2 (2mg): I experienced all of the above x2, plus I woke up disoriented, staggering somewhat, my whole body felt like lead, very fatigued,I couldn't see well, because my eyes felt like they were swelled or like I could not open them all the way. I was very fatigued my friends said I looked ""flushed."" Day 3 (4mg): I took the morning dosage and felt like I was carrying lead shoes, had a large lead anvil setting on my chest, I literally felt like I was struggling to breathe. I thought I was going to die.  I have tried to drink caffiene throughout this trial..which has helped some, but each day I feel like I am pushing the button.  I am going to contact my dr about the dosage in the am. For the most part, I think I did feel better mentally-more calm and evened-out, if I didn't have the anxiety of thinking I was going to die! It is so frustrating finding the right ""cocktail"" of drugs that suites one's needs. I am keeping my fingers crossed."
22$Condition: Other$2/7/2012 9:53:02 AM$Reviewer: D, 25-34 Female  on Treatment for less than 1 month (Patient) $1$1$1$Want to kno if this is the drug for me
23$Condition: Schizophrenia$1/21/2012 12:33:24 PM$Reviewer: Shorty, 45-54 on Treatment for 6 months to less than 1 year (Caregiver) $3$4$5$
24$Condition: Other$11/11/2011 3:54:07 PM$Reviewer: kay kay, 35-44 Female  on Treatment for 1 to 6 months (Patient) $3$2$4$ I have been taking this med for about 4 months and i'm having dizzyness and light headed. sometimes can't stand up and gained 30lbs. 
25$Condition: Additional Medications to Treat Depression$10/30/2011 12:53:25 PM$Reviewer: bu2dha, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$4$"This is one of the few mood stabilizers I have been one that actually works. Am taking 4mg twice a day and it really has helped me in the long run. Have been on it for almost two years. The down side is the expense. I am going off it as my copay for it is 230$ a month. The other thing is lack of sex drive.. poor results there. Have had blurred vision with it and very dry mouth."
26$Condition: Additional Medications to Treat Depression$10/12/2011 4:44:02 PM$Reviewer: 55-64 Female  on Treatment for 1 to 6 months (Patient) $1$1$5$I was taking this medication for bipolar disorder.  While taking the titration pack, I couldn't take anything over 2mg. At 2mg on the second day I was awake for 38 hours.  I went back to 1mg.  At this dosage my legs became twitchy, my nose became congested and diahrrea became an issue during the day.  At night I had to sleep sitting up in a recliner due to extreme acid reflux. This medication wasn't for me.  
27$Condition: Schizophrenia$10/4/2011 9:36:59 PM$Reviewer: 25-34 Male  on Treatment for 1 to 6 months (Patient) $4$3$3$the goood outweighs the bad  has minimun side effects
28$Condition: Schizophrenia$10/2/2011 11:30:10 AM$Reviewer: 55-64 Female  on Treatment for less than 1 month (Caregiver) $1$1$1$"this medication has disoriented the patient. it has affected her speech to the point you cannot understand her. it has affectec
d her movements, she has fallen several times. she doesn't remember what day it is and becomes very upset."
29$Condition: Other$9/21/2011 9:51:02 PM$Reviewer: 19-24 Female  on Treatment for less than 1 month (Patient) $2$2$5$
30$Condition: Other$9/1/2011 12:58:38 PM$Reviewer: Theemansgirl58, 25-34 Female  on Treatment for less than 1 month (Patient) $4$4$5$"When I first started taking Fanapt for Paranoia (Borderline Personality Disorder) I experienced really intense headaches as if I was having sinus problems, and my nose was stuffy...and still is somewhat. The headache has went away, though Im still somewhat stuffy like I said, Its NOT bad. I LOVE that this medicine doesnt make me pass out, like some other meds have...or made me super jittery....I was very sleepy at first but then it ""evened"" out. I am still having some paranoia...but Its only the end of the first week and Im only on 2mg. 
Hope this was helpful, I know what its like to search for good meds!! Good luck to you! "
31$Condition: Other$8/11/2011 12:34:48 PM$Reviewer: meg, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$4$I use Fanapt for bipolar (mild). It has been great. I havent had any manic attacks since taking this drug. I am still on a med for sleep at night. But my thoughts are doing good and my mood is pretty good. 
32$Condition: Schizophrenia$6/14/2011 2:19:23 PM$Reviewer: big mike, 35-44 Male  on Treatment for 1 to 6 months (Patient) $4$3$5$since i switched from zyprexa i've lost 35lbs cant eat or sleep,my sex drive is shot,it helps with the voices but paranoia and delusions are still occurring
33$Condition: Other$6/8/2011 10:35:29 PM$Reviewer: Reeder, 55-64 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$I take FanApt for controlling depression in Bipolar I. When I first started taking it, I got very dizzy often, but that wore off. Soon afterwards, my doctor increased my dose. When the side effects abated, he increased it again, and then again. The worst side effects wear off after a little while each time. I have a dry mouth and nasal congestion still, but I'm very pleased with the results. Before I started FanApt, my husband thought I needed hospitalization. I continue to improve with each dosage increase, and I'm pleased with my ability to sleep, my activity level, and my improved mood.
34$Condition: Other$5/17/2011 10:18:03 PM$Reviewer: kbat, 45-54 Female  on Treatment for less than 1 month (Patient) $4$4$5$I was prescribed this med for bipolar disorder type 2. I have not tolerated many other meds due to extreme side effects. Finished titration pack up to 6mg wth some side effects of dizziness and having alot of difficulty sleeping. Increased dose of 10mg caused increased anxiety and agitation,thus went back down to 6mg. Mania is controlled however and I'm happy with that. Taking other meds for sleep but then I feel drugged all day. Also still depressed. Hope I find the right combination of meds to treat all my symptoms of bipolar disorder.
35$Condition: Other$4/14/2011 7:47:22 PM$Reviewer: stray, 35-44 Female  on Treatment for less than 1 month (Patient) $2$1$2$Side effects suck in the beginning, Trying to get through the titration pack
36$Condition: Schizophrenia$4/14/2011 7:23:28 PM$Reviewer: seeing ghosts, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $4$5$5$
37$Condition: Other$4/7/2011 8:44:52 PM$Reviewer: Shu Lover, 75 or over Female  on Treatment for 1 to 6 months (Caregiver) $4$5$5$This medicine has been a lifesaver. My Mom was diagnosed with Schizoaffective Disorder a long time ago and has been on a lot of different meds. She's older now, so most don't work as well. This was is great, not hearing voices, has energy, can make decisions and it's easier for her to walk. She was on Haldol before (among other meds) and had all kinds of problems. The most pressing was she had trouble moving. Now, she's getting stronger every day and doesn't sleep as much. 
38$Condition: Additional Medications to Treat Depression$1/25/2011 2:14:12 PM$Reviewer: 55-64 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$At first I felt lightheaded on the lower dose, but as the dosage was increased that syptom went away & have had good results with it since.
39$Condition: Additional Medications to Treat Depression$12/30/2010 5:25:12 PM$Reviewer: Jen, 25-34 Female  on Treatment for less than 1 month (Patient) $5$5$5$Combined with Klonopins has been working great! Hope it lasts! I feel energetic, happy, jokey even! Side effects of dizziness has lessened, but still have extreme dry mouth.  
40$Condition: Schizophrenia$12/27/2010 4:41:55 PM$Reviewer: msnsgrl1, 35-44 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$no more voices or hallucinations...extreme weight gain...no more sex drive...other than that this medicine has been great!
41$Condition: Additional Medications to Treat Depression$10/29/2010 5:14:36 PM$Reviewer: 45-54 Male  on Treatment for less than 1 month (Patient) $1$1$5$Do not take this medication!!! Headaches, nasal congestion, disorientation, muscle stiffness, trouble breathing, rapid heartbeat, and swollen ankles and feet, unable to stand or walk. 
42$Condition: Other$12/6/2010 5:45:47 AM$Reviewer: jennb, 35-44 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$i have schizo-affective disorder and this has helped with the voices. i have experienced very little side effects.
43$Condition: Additional Medications to Treat Depression$12/25/2010 3:54:20 PM$Reviewer: Jen, 25-34 Female  on Treatment for less than 1 month (Patient) $3$3$5$Been on Fanapt 4 days, just started the 6mg.  Seems to have calmed me down some.  Side effects have been drowsiness, dizziness, head spins, lots of dry mouth.  Not sure if it's helping yet, but will update later when I've been on it longer.
44$Condition: Schizophrenia$12/20/2010 6:34:56 PM$Reviewer: PARANOID , 35-44 on Treatment for less than 1 month (Patient) $4$3$4$"THIS MEDICATION IS GREAT FOR PREGNANCY CONTROL NOW IF I CAN ONLY FIGURE OUT HOW TO MAINTAIN AN ERECTION!

i am still tithering out of my last medication SEROQUEL and it has been a roller coaster ride of side effects !
"
45$Condition: Other$10/23/2010 5:26:45 AM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $1$1$5$I started my first dose @2mg at night.  Did not help much with sleep.  I also take 4mg of xanax @ night.  Second dose was 4mg at night. Again not much sleep. Third dose was 6mg at night, same situation regarding sleep.  The following afternoon I was running errands and happened to be at the chechout at a local supermarket.  I had been there for what seemed forever, I get very impatient. I started not to feel well.  The feeling got worse and I ended up fainting. I ended up with quite a bump on the back of my head and general body aches from the awkward position I fell in. Needless to say I stopped taking this medication after 3 doses.
46$Condition: Schizophrenia$10/20/2010 11:13:15 PM$Reviewer: parker, 35-44 Female  (Patient) $3$2$5$I have been taking this drug for about 5 weeks now and I can't say that it's made me gain weight or not because I am on a strict diet. The voices have gottin better. I have bad mucsle cramps, I am depressed and I am angry for no reason. Not hearing the voices and seeing things are great but the side effects are terrible.
47$Condition: Other$9/27/2010 7:32:41 PM$Reviewer: 19-24 Female  on Treatment for less than 1 month (Patient) $1$1$1$I took a 1mg pill for one day, I was supposed to take another one that night but was too frightened by the side effects to do so. I was drowsy all day, I could not stand up without getting light headed, loss of vision for several seconds, or vomitting. Being prescribed to fanapt was a terrible experience for me.
48$Condition: Schizophrenia$9/27/2010 10:52:24 AM$Reviewer: mothball, 25-34 Male  on Treatment for less than 1 month (Patient) $4$4$5$6 days in and i'm cautiously optimistic. Titration side effects were terrible, but today i feel fine, now that i've been on my standard dose for 2 days. No hallucinations, delusions.
49$Condition: Schizophrenia$9/25/2010 7:27:10 PM$Reviewer: fanapt, 45-54 Male  on Treatment for 1 to 6 months (Patient) $1$1$2$halucinations, extreme anger, paranoia
50$Condition: Additional Medications to Treat Depression$9/21/2010 11:10:11 PM$Reviewer: 25-34 Female  on Treatment for less than 1 month (Patient) $3$2$3$
51$Condition: Schizophrenia$7/30/2010 11:00:39 AM$Reviewer: theguy, 25-34 Male  on Treatment for 1 to 6 months (Patient) $3$1$5$Ruined my sex drive. I can no longer get an erection or produce sperm.If you plan on having kids this medicine won't give you the ability too. I was fine until my doctor put me on this crap.Also rapid weight gain 
52$Condition: Schizophrenia$7/14/2010 8:14:31 PM$Reviewer: 45-54 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$
53$Condition: Schizophrenia$7/11/2010 7:03:23 PM$Reviewer: theguy, 25-34 Male  on Treatment for 1 to 6 months (Patient) $4$3$4$It works great for voices and paranoia. The negatives are fast weight gain and I look stoned.I gained 28 pounds in one month on this medicine. I currently take 6mg twice a day. 
54$Condition: Schizophrenia$6/30/2010 1:34:05 PM$Reviewer: Ginny, 19-24 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$I have been taking this for almost 3 months now and am now taking 10mg twice daily.My parents say I stopped talking nonsense.I do not hear fake voices as much.The side effect of this is mostly dry mouth and sometimes fatigue.I stopped gaining weight since I stopped the other medicine.I am doing so much better and should be able to go back to school in the fall.
55$Condition: Other$6/21/2010 9:04:22 PM$Reviewer: 45-54 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$I am taking this med for symptoms of schizo-affective disorder.  I transitioned off of 45 mg of Zyprexa onto 12 mg of Fanapt per day.  At first I was way over medicated and felt sluggish and out of it for a couple of weeks.  But as I went down on the dosage of Zyprexa (which over 7 years had caused about 100 lbs of weight gain) I felt that my hallucinations and racing thoughts were under control on just the Fanapt.  I like taking the Fanapt as my constant hunger has disappeared.  I have lost over 30 lbs. in the 10 weeks I have been taking Fanapt.  I would highly recommend this medication as a replacement for Zyprexa - all the positive control of Zyprexa without the hunger!
56$Condition: Schizophrenia$6/2/2010 1:50:42 PM$Reviewer: Marie, 19-24 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$This new medicine is helping me cope much better and with less side effects.
57$Condition: Other$5/23/2010 12:03:13 PM$Reviewer: CC, 25-34 Male  on Treatment for less than 1 month (Patient) $1$1$5$I started this drug,about 2 weeks now, I feel slow, sleepy and disoriented, I can not stand to hear the tv, and feel depressed. I have Schizo-affect disorder, which is not full blown Schizophrenia! I would not recommend this drug, for people with my disorder! My parents say my eyes look like I haven't slept for days,and I do hurt family members feelings with things I say while on this drug, my mom tried me on half a pill and I still feel bad, like I can't wake up. I am on 8 mg.pill.  My mom has taken away my meds and wants to see how I do  over the weekend until I can talk to my Doctor. I do not reccommed this Drug at all!
58$Condition: Other$5/6/2010 7:57:20 PM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $5$4$5$The first few days on trial pack  I had nasal congestion and headache. Taking decongestant. The effect this medication has had on my life has been amazing! Previously I was on high doses of two other drugs leaving me apathetic and not caring. Three weeks in and I am off one drug and cut way back on the second and I am alive again! As drugs wore off I have had to really take responsibility for my action in the past, most of which I was unaware of. Side effects and amens aside this drug is well worth taking!
59$Condition: Other$5/3/2010 12:33:21 AM$Reviewer: 35-44 Female  on Treatment for less than 1 month (Patient) $1$1$5$After first dose of 1mg, I experienced nasal congestion & headaches, along with eye irritation. I also felt more aggitated. I tried a second day of 1mg and the same symptoms occurred w/more intensity. I stopped treatment. It was prescribed for Bipolar II.
60$Condition: Schizophrenia$4/25/2010 5:27:55 PM$Reviewer: 19-24 Female  (Patient) $1$1$5$Don't take this drug unless you hvae plenty of muscle relaxers and can sit or lay down all day. This medicine has just turned me into according to my family when they see me, it looks like you are drunk. This medicine has totally messed with my sleep cycle in thatI am awake during the night and day time with very little sleep. If your body is sensitive to EPS (extrapyramidal syndrome) then please do not take this drug, it only makes it worse. And as for the whole bit about about being able to think clearer, don't believe it, it just made me more confused and I also feel very slow with my speech and verbal responses.  
